Post_ID,Actor_Name,Post_Format,BERTopic,functional_genre,blindspot,comment_avail,n_comments_scraped,Comments,eng_rate,pca1_bin,pca2_bin,pca3_bin,commemoration_day,live_series,hiring,pure_info,visual_zeroshot,visual_hdbscan,selection_reason,image_path,image_exists
DWOp8pRgrY-,Namibia Nature Foundation,Carousel,10,coexistence_community_livelihoods,False,False,0,0,0.007078,lo,mid,lo,False,False,False,False,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DWOp8pRgrY-.jpg,True
DWnyV1Wls37,N/a'an ku se Foundation,Carousel,9,coexistence_community_livelihoods,False,False,0,0,0.002326,hi,hi,hi,False,False,False,False,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DWnyV1Wls37.jpg,True
DXcTP6pCFgr,Ministry of Environment Forestry & Tourism,Video,33,coexistence_community_livelihoods,False,False,0,0,0.005902,mid,mid,mid,True,False,False,False,behind_the_scenes,6,genre_core,../3. Codebook & Coding/media_test/DXcTP6pCFgr.jpg,True
DWIac_JiEFz,Environmental Investment Fund,Image,20,commemoration_awareness,False,False,0,0,0.008233,lo,mid,mid,True,False,False,False,poster_text,1,genre_core,../3. Codebook & Coding/media_test/DWIac_JiEFz.jpg,True
DWOMpv0ipjl,Gobabeb Research & Training Centre,Carousel,20,commemoration_awareness,False,False,0,0,0.041367,lo,mid,lo,True,False,False,False,landscape_scenery,17,genre_core,../3. Codebook & Coding/media_test/DWOMpv0ipjl.jpg,True
DWV5l8TCp7a,Namibia Youth Chamber of Environment,Image,20,commemoration_awareness,False,False,0,0,0.013514,lo,hi,hi,True,False,False,False,poster_text,1,genre_core,../3. Codebook & Coding/media_test/DWV5l8TCp7a.jpg,True
DWbxil5DMTW,WWF Namibia,Video,20,commemoration_awareness,False,False,0,0,0.002801,lo,hi,hi,False,False,False,False,people_event,6,genre_core,../3. Codebook & Coding/media_test/DWbxil5DMTW.jpg,True
DXbe6nYCnwx,Namibia Nature Foundation,Image,20,commemoration_awareness,False,False,1,1,0.007361,lo,hi,mid,False,False,False,False,poster_text,1,genre_core,../3. Codebook & Coding/media_test/DXbe6nYCnwx.jpg,True
DXbynlCjsnU,Gobabeb Research & Training Centre,Image,20,commemoration_awareness,True,False,0,0,0.011691,lo,lo,mid,True,False,False,False,poster_text,1,genre_core,../3. Codebook & Coding/media_test/DXbynlCjsnU.jpg,True
DXceVTokb5e,Giraffe Conservation Foundation,Image,20,commemoration_awareness,False,True,3,3,0.008453,mid,mid,mid,True,False,False,False,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DXceVTokb5e.jpg,True
DQn6pZKjmE6,Ongava Game Reserve,Image,2,ecotourism_aesthetic,False,False,1,1,0.003515,mid,mid,lo,False,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DQn6pZKjmE6.jpg,True
DRmBxuCjPTR,Elephant Human Relations Aid,Video,1,ecotourism_aesthetic,True,True,3,3,0.047119,mid,lo,mid,False,False,False,False,behind_the_scenes,6,genre_core,../3. Codebook & Coding/media_test/DRmBxuCjPTR.jpg,True
DSW2mrgjs6h,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,1,1,0.004231,hi,lo,hi,False,False,False,False,animal_portrait,4,genre_core,../3. Codebook & Coding/media_test/DSW2mrgjs6h.jpg,True
DU-OQhPjn88,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,1,2,0.003779,mid,hi,mid,False,False,False,False,behind_the_scenes,10,genre_core,../3. Codebook & Coding/media_test/DU-OQhPjn88.jpg,True
DUYx4VLDCYU,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,0,0,0.003598,hi,hi,hi,False,False,False,False,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DUYx4VLDCYU.jpg,True
DV6hPrUj1sO,N/a'an ku se Foundation,Image,1,ecotourism_aesthetic,False,False,0,0,0.003438,lo,hi,hi,False,False,False,False,people_event,14,genre_core,../3. Codebook & Coding/media_test/DV6hPrUj1sO.jpg,True
DVF8tnJDu1d,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,0,0,0.00258,hi,hi,hi,False,False,False,False,people_event,10,genre_core,../3. Codebook & Coding/media_test/DVF8tnJDu1d.jpg,True
DW0itq8DiiZ,Ongava Game Reserve,Carousel,2,ecotourism_aesthetic,True,False,0,0,0.005624,mid,lo,mid,False,False,False,False,animal_portrait,9,genre_core,../3. Codebook & Coding/media_test/DW0itq8DiiZ.jpg,True
DW85lspilIK,Gobabeb Research & Training Centre,Image,2,ecotourism_aesthetic,True,False,0,0,0.032374,lo,lo,mid,False,False,False,False,behind_the_scenes,17,genre_core,../3. Codebook & Coding/media_test/DW85lspilIK.jpg,True
DWYj25RjKBe,Elephant Human Relations Aid,Carousel,2,ecotourism_aesthetic,False,True,4,4,0.026413,hi,lo,hi,False,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DWYj25RjKBe.jpg,True
DWqKBa7j5v4,N/a'an ku se Foundation,Image,1,ecotourism_aesthetic,False,False,0,0,0.001685,mid,mid,hi,False,False,False,False,poster_text,-1,genre_core,../3. Codebook & Coding/media_test/DWqKBa7j5v4.jpg,True
DXEgAVWCtkH,Namibia Youth Chamber of Environment,Video,1,ecotourism_aesthetic,False,False,2,3,0.022727,lo,mid,mid,False,False,False,False,people_event,-1,genre_core,../3. Codebook & Coding/media_test/DXEgAVWCtkH.jpg,True
DXG8IUMDeZj,Ongava Game Reserve,Video,2,ecotourism_aesthetic,False,True,6,6,0.033743,lo,mid,lo,False,False,False,False,branding_logo,0,genre_core,../3. Codebook & Coding/media_test/DXG8IUMDeZj.jpg,True
DRjpDiHjHFV,WWF Namibia,Carousel,23,education_youth,False,False,0,0,0.007158,mid,mid,lo,False,False,False,False,behind_the_scenes,11,genre_core,../3. Codebook & Coding/media_test/DRjpDiHjHFV.jpg,True
DS62I6pDk7E,Gobabeb Research & Training Centre,Carousel,16,education_youth,False,False,1,1,0.03777,lo,hi,lo,False,False,False,False,infographic_data,-1,genre_core,../3. Codebook & Coding/media_test/DS62I6pDk7E.jpg,True
DSRtCS7jnGX,Harnas Wildlife Foundation,Carousel,23,education_youth,False,False,0,0,0.002557,hi,mid,hi,False,False,False,False,animal_portrait,10,genre_core,../3. Codebook & Coding/media_test/DSRtCS7jnGX.jpg,True
DUiOGOniVHI,Ongava Game Reserve,Video,7,education_youth,False,False,1,1,0.0058,mid,lo,mid,False,False,False,False,animal_portrait,11,genre_core,../3. Codebook & Coding/media_test/DUiOGOniVHI.jpg,True
DV1RBwxDDEe,N/a'an ku se Foundation,Video,7,education_youth,False,False,1,1,0.004719,mid,lo,mid,False,False,False,False,behind_the_scenes,6,genre_core,../3. Codebook & Coding/media_test/DV1RBwxDDEe.jpg,True
DV_xrwzjCSH,N/a'an ku se Foundation,Image,7,education_youth,False,False,2,2,0.003202,lo,hi,hi,False,False,False,False,people_event,18,genre_core,../3. Codebook & Coding/media_test/DV_xrwzjCSH.jpg,True
DW8ck9sijNW,Namibia Youth Chamber of Environment,Video,16,education_youth,False,False,0,0,0.022113,lo,mid,hi,False,False,False,False,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DW8ck9sijNW.jpg,True
DWURr-cDbzB,Tosco Trust,Image,7,education_youth,False,False,1,3,0.021603,lo,lo,mid,False,False,False,False,poster_text,8,genre_core,../3. Codebook & Coding/media_test/DWURr-cDbzB.jpg,True
DR-SMDzDZx2,Giraffe Conservation Foundation,Carousel,4,monitoring_conservation_tech,False,False,1,1,0.001691,lo,hi,hi,False,False,False,False,people_event,14,genre_core,../3. Codebook & Coding/media_test/DR-SMDzDZx2.jpg,True
DTyJ9OpgXzm,Giraffe Conservation Foundation,Image,4,monitoring_conservation_tech,True,True,5,5,0.006099,mid,lo,hi,True,False,False,False,poster_text,1,genre_core,../3. Codebook & Coding/media_test/DTyJ9OpgXzm.jpg,True
DUoOpqdjEUM,Giraffe Conservation Foundation,Image,4,monitoring_conservation_tech,False,False,1,1,0.008239,hi,lo,lo,False,False,False,False,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DUoOpqdjEUM.jpg,True
DV6oG8iDJKi,Giraffe Conservation Foundation,Image,4,monitoring_conservation_tech,False,False,1,1,0.002546,lo,mid,lo,False,False,False,False,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DV6oG8iDJKi.jpg,True
DVWk_9XDbv8,Giraffe Conservation Foundation,Carousel,4,monitoring_conservation_tech,False,False,1,1,0.003424,lo,mid,mid,False,False,False,False,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DVWk_9XDbv8.jpg,True
DW4VErZEjmD,Cheetah Conservation Fund,Carousel,15,monitoring_conservation_tech,False,True,3,3,0.002366,mid,mid,mid,False,False,False,True,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DW4VErZEjmD.jpg,True
DXB-DjOjmZ2,Cheetah Conservation Fund,Video,15,monitoring_conservation_tech,False,True,5,5,0.003249,mid,mid,lo,False,False,False,False,behind_the_scenes,6,genre_core,../3. Codebook & Coding/media_test/DXB-DjOjmZ2.jpg,True
DXMiL7jjXgk,Cheetah Conservation Fund,Video,15,monitoring_conservation_tech,False,True,14,20,0.017196,hi,hi,lo,False,False,False,False,animal_portrait,6,genre_core,../3. Codebook & Coding/media_test/DXMiL7jjXgk.jpg,True
DXca0cil6Mk,Cheetah Conservation Fund,Video,15,monitoring_conservation_tech,False,True,9,10,0.014989,hi,hi,mid,True,False,False,False,behind_the_scenes,15,genre_core,../3. Codebook & Coding/media_test/DXca0cil6Mk.jpg,True
DT_B707iWMb,Harnas Wildlife Foundation,Carousel,22,org_update_identity,False,False,0,0,0.002806,mid,mid,mid,False,False,False,False,behind_the_scenes,14,genre_core,../3. Codebook & Coding/media_test/DT_B707iWMb.jpg,True
DTamIGPCnjn,Namibia Youth Chamber of Environment,Carousel,22,org_update_identity,False,False,0,0,0.045455,lo,mid,lo,False,False,True,False,poster_text,7,genre_core,../3. Codebook & Coding/media_test/DTamIGPCnjn.jpg,True
DTfkmjZiIqB,NACSO,Image,22,org_update_identity,False,False,0,0,0.037471,lo,lo,lo,False,False,True,False,poster_text,2,genre_core,../3. Codebook & Coding/media_test/DTfkmjZiIqB.jpg,True
DUq4ZLtj73l,Cheetah Conservation Fund,Video,28,org_update_identity,False,False,2,2,0.003708,hi,mid,mid,False,False,False,False,behind_the_scenes,19,genre_core,../3. Codebook & Coding/media_test/DUq4ZLtj73l.jpg,True
DV1dpcLjf4m,Tosco Trust,Video,11,org_update_identity,False,False,0,0,0.017283,lo,hi,hi,False,False,False,False,person_portrait,15,genre_core,../3. Codebook & Coding/media_test/DV1dpcLjf4m.jpg,True
DVIyH5WjD2M,WWF Namibia,Video,11,org_update_identity,False,False,0,0,0.006536,mid,mid,lo,False,True,False,True,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DVIyH5WjD2M.jpg,True
DVqcuKHmK2G,N/a'an ku se Foundation,Image,22,org_update_identity,False,False,1,1,0.001989,mid,lo,mid,False,False,True,False,branding_logo,2,genre_core,../3. Codebook & Coding/media_test/DVqcuKHmK2G.jpg,True
DXEY-ltlqzA,N/a'an ku se Foundation,Image,22,org_update_identity,False,False,0,0,0.006,hi,hi,hi,False,False,True,False,person_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DXEY-ltlqzA.jpg,True
DS1zuecDLC0,Elephant Human Relations Aid,Video,-1,outlier_atypical,False,True,4,4,0.012976,lo,hi,hi,False,False,False,False,people_event,14,genre_core,../3. Codebook & Coding/media_test/DS1zuecDLC0.jpg,True
DTCaWV3DqXt,Ongava Game Reserve,Image,-1,outlier_atypical,False,False,0,0,0.003603,mid,lo,lo,False,False,False,False,animal_portrait,4,genre_core,../3. Codebook & Coding/media_test/DTCaWV3DqXt.jpg,True
DTczhoqCMi3,Gobabeb Research & Training Centre,Image,-1,outlier_atypical,False,False,0,0,0.035072,hi,lo,lo,False,False,False,False,landscape_scenery,12,genre_core,../3. Codebook & Coding/media_test/DTczhoqCMi3.jpg,True
DUQylVEiPWw,Namibia Nature Foundation,Carousel,-1,outlier_atypical,False,False,0,0,0.021801,mid,lo,mid,False,False,False,False,people_event,19,genre_core,../3. Codebook & Coding/media_test/DUQylVEiPWw.jpg,True
DUxWaDAiHXN,NACSO,Image,-1,outlier_atypical,False,False,0,0,0.030445,lo,hi,lo,True,False,False,False,animal_portrait,1,genre_core,../3. Codebook & Coding/media_test/DUxWaDAiHXN.jpg,True
DV8qrmUDGoW,Save the Rhino Trust Namibia,Carousel,-1,outlier_atypical,False,False,0,0,0.001531,mid,mid,hi,False,False,False,False,people_event,18,genre_core,../3. Codebook & Coding/media_test/DV8qrmUDGoW.jpg,True
DWd8TPlCGNF,Ministry of Environment Forestry & Tourism,Video,-1,outlier_atypical,False,False,0,0,0.005902,hi,mid,mid,False,False,False,False,behind_the_scenes,13,genre_core,../3. Codebook & Coding/media_test/DWd8TPlCGNF.jpg,True
DWjdIZtjHgI,WWF Namibia,Carousel,-1,outlier_atypical,False,False,1,1,0.023965,mid,mid,lo,False,False,False,False,behind_the_scenes,18,genre_core,../3. Codebook & Coding/media_test/DWjdIZtjHgI.jpg,True
DWn1ukqCqP6,Namibia Youth Chamber of Environment,Carousel,-1,outlier_atypical,False,False,1,2,0.038698,lo,hi,hi,False,False,False,False,poster_text,7,genre_core,../3. Codebook & Coding/media_test/DWn1ukqCqP6.jpg,True
DXt_IDBD93L,N/a'an ku se Foundation,Video,-1,outlier_atypical,False,True,4,4,0.011091,hi,mid,hi,False,False,False,False,animal_portrait,9,genre_core,../3. Codebook & Coding/media_test/DXt_IDBD93L.jpg,True
DXuRr8pGfJ_,Cheetah Conservation Fund,Carousel,-1,outlier_atypical,False,True,6,5,0.00971,lo,hi,mid,False,True,False,False,poster_text,4,genre_core,../3. Codebook & Coding/media_test/DXuRr8pGfJ_.jpg,True
DQ33W_MDIWT,WWF Namibia,Image,6,policy_governance,False,False,0,0,0.003112,lo,mid,lo,False,False,False,False,poster_text,2,genre_core,../3. Codebook & Coding/media_test/DQ33W_MDIWT.jpg,True
DRQ69T9ir4N,Namibia Youth Chamber of Environment,Image,14,policy_governance,False,False,1,1,0.039926,lo,hi,lo,False,False,False,False,poster_text,2,genre_core,../3. Codebook & Coding/media_test/DRQ69T9ir4N.jpg,True
DRUeLV4kVdA,Namibia Nature Foundation,Video,6,policy_governance,False,False,0,0,0.010193,lo,hi,mid,False,False,False,False,branding_logo,12,genre_core,../3. Codebook & Coding/media_test/DRUeLV4kVdA.jpg,True
DUaqWnPCDxU,NACSO,Carousel,6,policy_governance,False,False,0,0,0.028103,lo,mid,mid,False,False,False,False,people_event,12,genre_core,../3. Codebook & Coding/media_test/DUaqWnPCDxU.jpg,True
DVdH45gAVk4,Namibia Nature Foundation,Image,6,policy_governance,False,False,0,0,0.003114,mid,hi,lo,False,False,False,False,people_event,18,genre_core,../3. Codebook & Coding/media_test/DVdH45gAVk4.jpg,True
DW3WLwbiIzy,Ministry of Environment Forestry & Tourism,Image,24,policy_governance,False,False,0,0,0.008151,mid,mid,hi,False,False,False,False,people_event,12,genre_core,../3. Codebook & Coding/media_test/DW3WLwbiIzy.jpg,True
DW4hFLgDm7x,Ministry of Environment Forestry & Tourism,Carousel,30,policy_governance,False,False,0,0,0.016301,hi,mid,mid,False,False,False,False,people_event,12,genre_core,../3. Codebook & Coding/media_test/DW4hFLgDm7x.jpg,True
DWUhj7VjtYE,Ministry of Environment Forestry & Tourism,Video,6,policy_governance,True,False,1,1,0.01602,mid,lo,hi,False,False,False,False,person_portrait,12,genre_core,../3. Codebook & Coding/media_test/DWUhj7VjtYE.jpg,True
DXM5JzSjdGk,Environmental Investment Fund,Carousel,14,policy_governance,False,False,0,0,0.0038,mid,hi,lo,False,False,False,False,person_portrait,13,genre_core,../3. Codebook & Coding/media_test/DXM5JzSjdGk.jpg,True
DXMfT__iL4g,Ministry of Environment Forestry & Tourism,Carousel,24,policy_governance,True,False,0,0,0.031478,mid,lo,mid,False,False,False,False,people_event,-1,genre_core,../3. Codebook & Coding/media_test/DXMfT__iL4g.jpg,True
DQomPRvDhb2,Gobabeb Research & Training Centre,Carousel,3,rescue_intervention,True,False,0,0,0.027878,lo,lo,mid,False,False,False,True,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DQomPRvDhb2.jpg,True
DUaaK2PjUEr,Environmental Investment Fund,Image,3,rescue_intervention,True,False,1,1,0.0095,lo,lo,mid,False,False,False,False,poster_text,3,genre_core,../3. Codebook & Coding/media_test/DUaaK2PjUEr.jpg,True
DUdtwy-jdBl,Harnas Wildlife Foundation,Carousel,26,rescue_intervention,False,True,6,9,0.007241,hi,hi,mid,False,False,False,False,behind_the_scenes,19,genre_core,../3. Codebook & Coding/media_test/DUdtwy-jdBl.jpg,True
DUwbUUNj_NO,Cheetah Conservation Fund,Video,18,rescue_intervention,False,True,4,4,0.008139,hi,hi,hi,False,False,False,False,animal_portrait,4,genre_core,../3. Codebook & Coding/media_test/DUwbUUNj_NO.jpg,True
DVWk_muDRUJ,N/a'an ku se Foundation,Carousel,26,rescue_intervention,False,False,2,2,0.008461,hi,mid,hi,False,False,False,False,behind_the_scenes,10,genre_core,../3. Codebook & Coding/media_test/DVWk_muDRUJ.jpg,True
DW9CcE-D6SX,Ongava Game Reserve,Video,26,rescue_intervention,True,False,2,2,0.004218,mid,lo,mid,False,False,False,False,animal_portrait,9,genre_core,../3. Codebook & Coding/media_test/DW9CcE-D6SX.jpg,True
DWk1d0DDHm-,Ocean Conservation Namibia,Image,3,rescue_intervention,False,True,15,20,0.002097,mid,mid,lo,False,False,False,False,poster_text,6,genre_core,../3. Codebook & Coding/media_test/DWk1d0DDHm-.jpg,True
DXg3UF6CdnC,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,36,0.004814,mid,mid,lo,False,False,False,False,behind_the_scenes,-1,genre_core,../3. Codebook & Coding/media_test/DXg3UF6CdnC.jpg,True
DXpWrXrDEJt,Cheetah Conservation Fund,Video,18,rescue_intervention,False,True,15,16,0.020003,hi,hi,hi,False,False,False,False,animal_portrait,4,genre_core,../3. Codebook & Coding/media_test/DXpWrXrDEJt.jpg,True
DXvye8QFSV3,Ocean Conservation Namibia,Image,3,rescue_intervention,False,True,15,38,0.000714,mid,mid,lo,False,False,False,False,poster_text,6,genre_core,../3. Codebook & Coding/media_test/DXvye8QFSV3.jpg,True
DQ87jsuDEw5,Namibia Youth Chamber of Environment,Carousel,27,research_dispatch,True,False,0,0,0.016585,lo,lo,mid,False,False,False,False,poster_text,7,genre_core,../3. Codebook & Coding/media_test/DQ87jsuDEw5.jpg,True
DSFsknpDGEy,AfriCat Foundation,Video,13,research_dispatch,False,True,3,3,0.006099,lo,mid,lo,False,False,False,False,animal_portrait,9,genre_core,../3. Codebook & Coding/media_test/DSFsknpDGEy.jpg,True
DSMVuCOCTl_,Gobabeb Research & Training Centre,Carousel,17,research_dispatch,False,True,4,4,0.058453,hi,hi,hi,False,False,False,False,behind_the_scenes,6,genre_core,../3. Codebook & Coding/media_test/DSMVuCOCTl_.jpg,True
DSRfVglE9R7,Namibia Nature Foundation,Image,27,research_dispatch,False,False,0,0,0.005096,mid,mid,lo,False,False,False,False,people_event,18,genre_core,../3. Codebook & Coding/media_test/DSRfVglE9R7.jpg,True
DScAMoqDGfB,Ongava Game Reserve,Video,25,research_dispatch,False,False,1,1,0.006063,hi,lo,lo,False,False,False,False,animal_portrait,4,genre_core,../3. Codebook & Coding/media_test/DScAMoqDGfB.jpg,True
DUYS-aeDTbR,Gobabeb Research & Training Centre,Image,17,research_dispatch,True,False,0,0,0.043165,mid,lo,mid,False,False,False,False,behind_the_scenes,17,genre_core,../3. Codebook & Coding/media_test/DUYS-aeDTbR.jpg,True
DUz7IcljPlu,Gobabeb Research & Training Centre,Image,12,research_dispatch,False,False,0,0,0.033273,mid,lo,lo,False,False,False,False,landscape_scenery,17,genre_core,../3. Codebook & Coding/media_test/DUz7IcljPlu.jpg,True
DVAe29YCKEl,NACSO,Image,13,research_dispatch,False,False,1,1,0.098361,mid,hi,hi,True,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DVAe29YCKEl.jpg,True
DW6x4dRjNxf,AfriCat Foundation,Carousel,13,research_dispatch,False,True,15,70,0.368557,hi,hi,mid,False,False,False,False,animal_portrait,11,genre_core,../3. Codebook & Coding/media_test/DW6x4dRjNxf.jpg,True
DWD7q9hijMg,Namibia Youth Chamber of Environment,Carousel,27,research_dispatch,True,False,0,0,0.009214,lo,lo,mid,False,False,False,False,poster_text,7,genre_core,../3. Codebook & Coding/media_test/DWD7q9hijMg.jpg,True
DWGywKJiuW1,Namibia Nature Foundation,Carousel,27,research_dispatch,False,False,1,1,0.017554,hi,mid,lo,False,False,False,False,behind_the_scenes,11,genre_core,../3. Codebook & Coding/media_test/DWGywKJiuW1.jpg,True
DQuKrLZDCfh,AfriCat Foundation,Carousel,5,species_spotlight_facts,False,False,2,2,0.00626,hi,hi,mid,False,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DQuKrLZDCfh.jpg,True
DR9lkQmjMsq,Elephant Human Relations Aid,Carousel,5,species_spotlight_facts,True,False,0,0,0.010583,mid,lo,mid,False,False,False,False,landscape_scenery,16,genre_core,../3. Codebook & Coding/media_test/DR9lkQmjMsq.jpg,True
DSAAY7CCL0h,Namibia Nature Foundation,Image,5,species_spotlight_facts,False,False,0,0,0.004247,lo,hi,lo,False,False,False,False,infographic_data,-1,genre_core,../3. Codebook & Coding/media_test/DSAAY7CCL0h.jpg,True
DSo4McVCYZ-,Ongava Game Reserve,Video,5,species_spotlight_facts,False,False,0,0,0.006063,hi,hi,hi,False,False,False,False,person_portrait,15,genre_core,../3. Codebook & Coding/media_test/DSo4McVCYZ-.jpg,True
DTHxtDGDjph,Save the Rhino Trust Namibia,Carousel,5,species_spotlight_facts,False,False,0,0,0.002497,lo,hi,hi,False,False,False,False,people_event,18,genre_core,../3. Codebook & Coding/media_test/DTHxtDGDjph.jpg,True
DTw-cDsjg1M,Harnas Wildlife Foundation,Image,5,species_spotlight_facts,False,False,2,2,0.004118,hi,mid,hi,False,False,False,False,animal_portrait,8,genre_core,../3. Codebook & Coding/media_test/DTw-cDsjg1M.jpg,True
DUgMnW8jL3b,N/a'an ku se Foundation,Video,31,species_spotlight_facts,False,False,1,1,0.011731,mid,mid,lo,False,False,False,False,animal_portrait,4,genre_core,../3. Codebook & Coding/media_test/DUgMnW8jL3b.jpg,True
DXY1VUcAHbh,Save the Rhino Trust Namibia,Video,5,species_spotlight_facts,False,False,2,2,0.003544,mid,mid,lo,False,False,False,False,branding_logo,6,genre_core,../3. Codebook & Coding/media_test/DXY1VUcAHbh.jpg,True
DR5IqOsiJb_,Giraffe Conservation Foundation,Video,8,weekly_ritual_filler,False,True,7,7,0.011085,hi,lo,lo,False,False,False,True,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DR5IqOsiJb_.jpg,True
DSsoe4NDfql,Giraffe Conservation Foundation,Image,8,weekly_ritual_filler,False,False,2,3,0.006184,mid,mid,mid,False,False,False,False,poster_text,-1,genre_core,../3. Codebook & Coding/media_test/DSsoe4NDfql.jpg,True
DSvNTG6DxNi,Giraffe Conservation Foundation,Image,8,weekly_ritual_filler,False,True,5,5,0.013631,hi,lo,hi,False,False,False,False,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DSvNTG6DxNi.jpg,True
DTlR_2oEp9y,Giraffe Conservation Foundation,Video,8,weekly_ritual_filler,True,True,5,4,0.017333,mid,lo,mid,False,False,False,False,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DTlR_2oEp9y.jpg,True
DUtYO6nDaS4,Giraffe Conservation Foundation,Image,8,weekly_ritual_filler,False,False,2,2,0.007019,hi,lo,hi,False,False,False,False,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DUtYO6nDaS4.jpg,True
DWY0epAiNPH,Ministry of Environment Forestry & Tourism,Carousel,8,weekly_ritual_filler,False,False,0,0,0.013772,lo,mid,mid,False,False,False,False,people_event,-1,genre_core,../3. Codebook & Coding/media_test/DWY0epAiNPH.jpg,True
DWmZr1-Ewni,Giraffe Conservation Foundation,Image,8,weekly_ritual_filler,False,True,3,3,0.00734,hi,lo,lo,False,False,False,False,animal_portrait,5,genre_core,../3. Codebook & Coding/media_test/DWmZr1-Ewni.jpg,True
DV1elZ8D0VV,N/a'an ku se Foundation,Video,21,wildlife_series_broadcast,False,False,0,0,0.001618,mid,mid,mid,False,True,False,False,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DV1elZ8D0VV.jpg,True
DVRbbXIiHaN,N/a'an ku se Foundation,Video,21,wildlife_series_broadcast,False,False,0,0,0.001618,hi,hi,hi,False,True,False,True,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DVRbbXIiHaN.jpg,True
