Post_ID;clip_align
DVthvBkjAAF;0.206
DU-ncR0jTOc;0.2761
DS8FQVIjdpH;0.3211
DTGYcjdjeVp;0.3196
DS-qEVPADma;0.2658
DTBO21Djf01;0.2839
DTgIY48D2Bx;0.2931
DTYZ__3jMEy;0.2967
DTOG1rZj1Wf;0.309
DT8Hxp4DMQV;0.1862
DTTQcXSDwcQ;0.2966
DTlR_2oEp9y;0.3206
DU59lkXjDeX;0.2536
DUlV2iNCOB0;0.3177
DUGbxzVDE1m;0.2783
DSGA6a6gTQ3;0.3028
DVJlhV9DD_m;0.234
DWOuG89jwy0;0.2612
DVWk_muDRUJ;0.176
DVCCqirFE2-;0.36
DVBDGWRjKFU;0.2283
DVeTYKBDDi-;0.1989
DRwcckvjYNV;0.288
DR5IqOsiJb_;0.3044
DVZeWt7AodX;0.2158
DV99gHxDCdy;0.4185
DVZJxG8gdBv;0.1895
DVHILyij3Ej;0.2761
DRz_BrsjG0U;0.2907
DSiVUl0gTF5;0.302
DSQTzsPDRJ6;0.3111
DSdLvtCiO9N;0.2607
DVT5VGnDVSk;0.2486
DSqDr_mAgXH;0.3122
DSLMZorAZyc;0.2699
DVv5Vyeje89;0.3324
DR-SMDzDZx2;0.2893
DSYCJfoj4ik;0.3156
DVavhOlDFHe;0.2287
DRsQo-BARQL;0.318
DXtaDoijIT_;0.267
DVO3p9GDGew;0.2868
DWAqKGpkuSD;0.2772
DWFHDlUj2ZX;0.2132
DV7XJOljNi_;0.2635
DWCI-u-Ee46;0.3428
DXJ6PfWFpCF;0.2381
DXUHBZnltwo;0.3187
DWHfqggD7KW;0.3024
DXMYTYjlr_q;0.3131
DXQx2jFFrjg;0.3144
DXG8IUMDeZj;0.1695
DXEcMZZDgY7;0.2898
DXO2QOUln2I;0.288
DW9CcE-D6SX;0.2347
DXWQDv-iRp8;0.2089
DXJnfgRDJCq;0.3237
DWgtt_SgXiB;0.2708
DWWoOTkjmc6;0.2399
DW0itq8DiiZ;0.2551
DWnsHF-DQxD;0.2684
DUtRbGeCDvW;0.1916
DXWUuVLiluH;0.4001
DXLyjUAjZ73;0.32
DWELR2UDkdM;0.2459
DXPE5MbDHp0;0.2943
DWatI5sjiv8;0.3359
DXbe6nYCnwx;0.2754
DWlb0sNDFI2;0.2842
DW3daffjCif;0.2393
DXoz26sjP1a;0.318
DWtKKg3jMKm;0.2611
DXWhPTbE16s;0.3081
DUi-O5xmKYK;0.3077
DWODCFVDkCp;0.2749
DXTqzuxjCXj;0.3257
DXgjOMjoc5M;0.2666
DUqspAglZWX;0.244
DV_Pa2ujuyN;0.3054
DW3IxVCjip9;0.2651
DU0pr3KjK2K;0.226
DUv9CdXiIPB;0.1834
DUk1QjjDDWR;0.3349
DUoHy9SjDWf;0.286
DXbqi4PDIfu;0.1697
DWp8LUSDnGz;0.2727
DWyTxceDHN1;0.2314
DU81AbnCf5j;0.2892
DU_MJCCghr8;0.2254
DU0kTVJiYGd;0.2739
DU8KNrLDLWc;0.2148
DRDKx7WjEV0;0.3082
DVZ3LZRElaC;0.2821
DVXZSXLDLb0;0.2573
DVoFl_YDezG;0.3234
DVghGJuDbWD;0.3465
DVeHLEsEZn4;0.3729
DVteIrHkpr9;0.3496
DQ2L-kBgaVr;0.3167
DQ96W0vD9A5;0.3344
DVqtQN1Deaf;0.2382
DVe15yLj6YW;0.2401
DRVFd6ziFlp;0.2865
DRaPEBQjOK7;0.3157
DRIGtULDGKm;0.3088
DXWaGU2DI8-;0.2868
DVRbbXIiHaN;0.2252
DV8V_PjFMlT;0.3221
DVgPtlCDbl3;0.3409
DVSdPEfDGlm;0.2277
DVTW8GMjZim;0.2335
DQpT_FHjeeA;0.2737
DVmWaukkpqC;0.2487
DVo7FqKjnUw;0.3383
DQr4xc2jBxf;0.2441
DVbLx5hjV9r;0.2407
DV8bdWGGfP1;0.2513
DVdps8pDG1E;0.2567
DV3ir46kge2;0.309
DVHpOKMj7dH;0.2014
DWRTGNGlQCt;0.1863
DVLlSpkFEpk;0.2093
DWGywKJiuW1;0.2614
DWgSNwADO1W;0.2468
DUtUiVNjyqn;0.3176
DVnOjbSjT6J;0.2162
DVyb81qEv7Z;0.2798
DWQ_vNvDHIN;0.2864
DVGseIDDyuy;0.2859
DWMOLvjI0E1;0.2441
DViwwfADNh2;0.302
DVPx65yjFAk;0.3531
DWHAQoDDCFJ;0.2189
DU--e3nDTLy;0.3539
DWYj25RjKBe;0.2739
DUwbUUNj_NO;0.2984
DWOp8pRgrY-;0.2738
DVKnOCFkeoh;0.3224
DWI1jSjCECU;0.2959
DVRh1txjwyW;0.2282
DWlx5zxDR9z;0.2199
DWW2_T3iBZt;0.2696
DXJDgC_j8QH;0.2704
DXG_Rg6gKjW;0.3111
DXGuQgdClUM;0.275
DRh9fYtF7oD;0.2843
DWIr7PTE4-T;0.3185
DQkKY5FCLco;0.2548
DRnHDGCDVEp;0.2822
DXhaLKmlu0M;0.2686
DVDHgPFCJDL;0.2525
DV3ClNUjpXi;0.2853
DWOMpv0ipjl;0.227
DRjkb12glvq;0.3068
DU5pU_UjQsQ;0.2836
DWYWQYjjZtc;0.1927
DWa67ppjZEz;0.303
DWipTbxDK8S;0.3013
DWgIriWDQxg;0.2577
DWlOT-GDX6g;0.2301
DVgC6V2ioa5;0.2143
DVTDeXjjmMZ;0.2768
DU50x96jR1d;0.2511
DVyESaDDdiT;0.2995
DVI864ZjNsa;0.2723
DVLjRgJDs5J;0.3541
DR1lAl1DNyj;0.2913
DVtYmYXDoF9;0.2898
DRoh4CgjIdg;0.4175
DV1DmH0CkLB;0.332
DSSZ_zZjCkl;0.3106
DSVAuMcDEaR;0.3048
DVOUUsFiHNk;0.2443
DVYvl7RiVL5;0.2149
DRZpsCYDKQo;0.2723
DU0iQhODA9h;0.2674
DRjpDiHjHFV;0.2569
DVlOuZXjkcq;0.2632
DVOGgyQDCdJ;0.2235
DUi1DKFEswt;0.2736
DVTacFEDDjq;0.2279
DRbhlL9jFj-;0.2629
DUamruyjIvp;0.2763
DU8Q-V6Eh8X;0.314
DVakVfSCFgS;0.3388
DUq4ZLtj73l;0.3795
DVOQ3h4DCqP;0.2761
DVIvSh2jPbB;0.2732
DU-1O9BCJ5U;0.3399
DU_BedZDHK_;0.3796
DUlJ-T9DMsS;0.3221
DVan0V-iFrF;0.2776
DU-z_9ziHyK;0.2613
DUVa739DPUG;0.2814
DTe7EkljNLD;0.2973
DWB8QHqjWrn;0.2805
DVdH45gAVk4;0.3342
DUQkt2iDA7P;0.3593
DUGHK9qjPW3;0.1775
DVslJUkiCXw;0.2721
DUDUlzWDmzd;0.2863
DWGMzA5iEYq;0.203
DULC8MvjkTx;0.2803
DUQMkcKCKzR;0.2924
DVqFzwkiKC1;0.2877
DQ33W_MDIWT;0.3265
DQwc21VjCay;0.2849
DTrtFpEjvQr;0.2629
DSrIVS5jgIs;0.3431
DT2qXbkDhAW;0.2709
DTHj9wWDrOW;0.2919
DTz6o0ADgsG;0.2488
DROlo6ODMZ2;0.3099
DTMth9CDqsA;0.2279
DS1iZTWjqdX;0.2883
DTCaWV3DqXt;0.2787
DSRfVglE9R7;0.3056
DSUdHpljhNG;0.3048
DTu6OvXDGvb;0.2449
DUak3CWihKh;0.2958
DTc2Yz7FK4g;0.2781
DTpriFKDEoy;0.2382
DUAvy1HCrdK;0.2228
DTpkqRcjKoI;0.3889
DUDwkx3CoSw;0.2065
DTdBVo0DE80;0.2705
DU-z0VTCIDD;0.2748
DTQJTa4DCHb;0.2768
DT-LDRWDLjo;0.2225
DUYS-aeDTbR;0.2625
DUIs9smjU9U;0.3092
DUFkxsrAbe6;0.2857
DTZwVuyDPzv;0.283
DS8gr-cjs7N;0.3543
DQ_R3ppjGei;0.302
DUlFFvqlza-;0.2927
DUu_PDljEOn;0.2573
DUsTl7-CLzI;0.28
DUirI8jCpq9;0.2825
DUm4LN7ij2P;0.2912
DUxWVHkkQKe;0.3271
DTz7HPojK0l;0.2865
DUSPBlNAdD2;0.3645
DUz7IcljPlu;0.3519
DR_9tu4DEa9;0.2417
DTSSRVGDovn;0.3632
DSAAY7CCL0h;0.3929
DRUoRnVip6U;0.3236
DTkwKMyDiTL;0.2711
DRwLY29iqCu;0.1932
DRysmMAjjkE;0.3047
DTZ8t_rjf0K;0.3053
DRkD-f8ChaE;0.2884
DTP7j3RDHLk;0.2969
DRyly-3Elxh;0.2829
DSRmHo9jktf;0.3012
DT0Ic-vDqZS;0.316
DRoZZFWDisZ;0.3167
DUafvG0Dt8S;0.2795
DTczhoqCMi3;0.2959
DTxbld2jk4g;0.2124
DSjumFdDrHH;0.2289
DTsjxydDrqm;0.2729
DSWvw0ojpo2;0.2715
DRUeLV4kVdA;0.2938
DRti-4hkrSH;0.3176
DSANRZ7Csag;0.3131
DRylxXvCGVv;0.2505
DUVWG6IDlEW;0.2405
DSHS8tCjoMU;0.2482
DSo4McVCYZ-;0.2745
DTxnqemDkJW;0.3232
DScAMoqDGfB;0.321
DR32LTpDqq9;0.3084
DSMjgNigije;0.2658
DUl-h-iDtVF;0.3198
DWn0BodDtvi;0.2668
DU2k5TgCEm4;0.3305
DRkDGmqil3i;0.319
DUvBEwdiOJq;0.257
DU-uqVPiIUw;0.275
DU0deWyDr98;0.3224
DSCJVfvDiLC;0.3148
DW3h9rpioLY;0.3246
DUGAYhbjqCg;0.2809
DUF8p2CDAtQ;0.2469
DU3V6-wjMVm;0.3691
DW6B_l-iuQh;0.216
DXLuD9Wijhj;0.2506
DUiOGOniVHI;0.3028
DSrLZqAACD4;0.2868
DSmTYczjsqm;0.2991
DTw-cFFjt7_;0.2804
DW6RMLZinP8;0.2687
DXZHhSxCp6z;0.2776
DTSTWrNDnOT;0.3137
DXbqlj7CmfU;0.2549
DUDNt00DuTz;0.3134
DXOW8EeCnoE;0.2874
DXEgAVWCtkH;0.3211
DTxCXWpDE4V;0.2786
DS1wKIEjqZf;0.2939
DXeGKudihBK;0.253
DTHxtDGDjph;0.2766
DW8ck9sijNW;0.1973
DXbo4bICltt;0.3401
DQyN13UDdWR;0.3203
DXodK1uCjQS;0.2758
DQ_hY2pDcxc;0.2548
DQ9QJa0iknB;0.2656
DSCwOfFDlpl;0.23
DRgkG3FDuJS;0.3028
DRzYNeKCo0L;0.1917
DRL9xcejsyu;0.3006
DRKJ-EZigFp;0.2687
DSMVuCOCTl_;0.1554
DRKTe9SitKH;0.266
DSXZ7bpjjzq;0.2992
DRKPnfYCp6K;0.3044
DS1qVQYjqcs;0.2186
DScbrOljail;0.259
DRCbRmxja_O;0.2257
DT2pb6hiLJo;0.3993
DSIF5R8D3c2;0.2784
DUDbb2FjD8p;0.3227
DReHoxSjt92;0.3294
DT2HsqsjWhH;0.2621
DRl0mmRiO6j;0.2324
DUaqWnPCDxU;0.2567
DS62I6pDk7E;0.3141
DRWQ-B9jmwx;0.3265
DRTyj6qimZ8;0.3127
DSZ25aFj-dD;0.3042
DXPmUSmAsWS;0.2979
DXwKK3PCoiw;0.2843
DXbynlCjsnU;0.3053
DXg39MKjeJB;0.3117
DXUv-0KjLn4;0.3091
DXbSywhDQWF;0.2426
DWEnQrpO-q8;0.2597
DV84SaljvmX;0.2925
DVbcgVLDPGM;0.2801
DWb7j2uDMKS;0.2876
DVRGvV1DNZT;0.2382
DQn6pZKjmE6;0.279
DWMgGWFjOeC;0.3098
DXofbb7Dbv5;0.3278
DVq2xA8DRA_;0.2157
DVykjIEDLEb;0.2882
DXKc58qjZ0A;0.3583
DXoAP_2lqoE;0.315
DXhA84pFEFq;0.352
DW6x4dRjNxf;0.2984
DXt_IDBD93L;0.2151
DXi6TshgSo5;0.3461
DV3Sws3jIWU;0.2109
DWtzXr8ODrc;0.2401
DXwqAO0Fugv;0.2326
DWUGbt-DAvh;0.2634
DXwKk3HCCrp;0.248
DVLyohjjzzO;0.3055
DXexE6XjJDv;0.2849
DXUcLv_jGa4;0.2769
DXY1VUcAHbh;0.1947
DXbSvspFoHk;0.3128
DWyGEHKDo5E;0.2874
DXqvhiqlt1o;0.3605
DXJRMa_AkWD;0.2989
DXWX-PXFqnF;0.3058
DVnoukUjl9S;0.2981
DXgcXcbFpJy;0.2984
DVvCknRjvf6;0.274
DXpCdUhjNBm;0.3114
DVQP4NojqaK;0.3221
DVc6DMtjoUk;0.2514
DVF8tnJDu1d;0.2096
DVXwcGxjjIi;0.2802
DVJKgdwDE6k;0.2498
DWf9kn4Dsd8;0.2803
DVl6803ArIo;0.2859
DUz7FfoDqtk;0.2565
DVa3m5fDjN9;0.3138
DWGNnrpDtYm;0.3129
DViKhngjjX9;0.3329
DU5EsvWjsxF;0.3175
DU-OQhPjn88;0.2757
DVLGQ7hDvlC;0.2853
DWN8CmPDmjg;0.2988
DWYPQRHjtlS;0.2128
DWTFsBgjvPD;0.3348
DWBEEBWjifc;0.2731
DV76dOJjpxd;0.2934
DXuDcJQiA2H;0.3119
DXCuXRniIRH;0.297
DXYu82YCEDr;0.3035
DRhNyZnjIg1;0.247
DQ4p6A_j2N8;0.2614
DXb98OkiLtY;0.2784
DWerOqzAbIP;0.3056
DU7v1hOilMn;0.3349
DRSKePSDN6A;0.2172
DWzDJHOkk7W;0.2927
DV8ic1cCqAP;0.3043
DQ3dSnjDP3l;0.2101
DUyh38sDYy-;0.2455
DTw3Yjzim57;0.2391
DUP8i2Qigcf;0.2735
DUOX2sXjWu-;0.2825
DWn68aHCAaP;0.3006
DUm1Xg9Dmf3;0.29
DUH7zAPjiP7;0.252
DW3KFFOCN4A;0.3076
DUPqMmljuGv;0.261
DW3WDZWiA6v;0.3006
DW3Jis6CDlb;0.2456
DW3WLwbiIzy;0.2773
DW4f5mjjpGm;0.221
DW3JUnYiHWQ;0.2518
DWoNu2YiMLw;0.2099
DWhVFUtDubq;0.2169
DUYx4VLDCYU;0.3039
DUdtwy-jdBl;0.2359
DUr-88XjjJb;0.2818
DWI6-PhCgDu;0.3787
DWlUKAsCBNC;0.2223
DWhU7LCjva2;0.3561
DUZ9b7jDh1Z;0.2976
DXvye8QFSV3;0.3222
DUvvTWQjyn4;0.2106
DUuxi5_DvLg;0.2561
DXwUHbmk-oD;0.2457
DXWCXRoCX7X;0.2831
DRQ69T9ir4N;0.2629
DXtvQ9SgL98;0.2601
DSsoe4NDfql;0.3318
DUYeCeoDJs6;0.2536
DVcrAuRjsnE;0.3552
DVBpQ6sjE5H;0.2848
DW8Lka0Dbrn;0.2606
DV_qawHEpSw;0.323
DU3rabWkYrT;0.3614
DQxCVcNj9Cw;0.2522
DVU4KuJDJ9A;0.1964
DQvrtOYjDeU;0.3515
DRP79xHj7NN;0.3182
DVMmZpTjq1t;0.2828
DWTTNs3iO3h;0.3134
DXOrcNijX05;0.3104
DVfdclaCI5r;0.326
DWIac_JiEFz;0.268
DUaaK2PjUEr;0.3461
DXM5JzSjdGk;0.2999
DWdxehuCDJo;0.2654
DUgMnW8jL3b;0.2348
DXd19oFjkuQ;0.239
DUbWtOygfZh;0.2082
DWdkN4BiJyf;0.2719
DXoC0N4mgkj;0.332
DXmA4Gtj_Zh;0.2093
DWef2hPCOlX;0.2891
DXeSg6pAHo-;0.262
DUYx5HdiD09;0.249
DXZJA_liqWn;0.2288
DXbt7IqCLKa;0.2626
DUggUj0iE_S;0.2084
DXg3UF6CdnC;0.1883
DXolt9eDCcN;0.2692
DTfYVUaDupz;0.2283
DXjcLK4D8YD;0.2272
DWd8TPlCGNF;0.3187
DTSgWRoloBs;0.2834
DS9WiNDCKWA;0.3172
DWTPuYYiBmk;0.2575
DXtW3C-FV7E;0.3232
DTaOutKjo18;0.2795
DXrKi2OD1Hm;0.2768
DWPV37mjdwz;0.3645
DUANbOODsT-;0.3041
DTkh7UFjvTh;0.2706
DTitPQkAEdG;0.3068
DTsQUhIDj4F;0.2811
DUCyOBzjtGW;0.334
DT_B707iWMb;0.2083
DQtsfnrES6W;0.3368
DTn2xOlD7JJ;0.3359
DWdtfb8Cewk;0.2439
DUqUliEDNSs;0.275
DSXuQFEiGjJ;0.3492
DQlvwlSjZA2;0.2874
DSqL_CYjCQI;0.3461
DRy5ghiDT_W;0.3215
DWVnGAginZE;0.2423
DU-3de8iG-a;0.3146
DS7VL1aDlsL;0.2782
DSrc9q6DsW-;0.3644
DSW2mrgjs6h;0.3328
DSjukI4jv4D;0.2463
DVax_qWDIWT;0.2254
DVYKqgYiKyD;0.3548
DTNWuvpjhud;0.2894
DS2LnHADquv;0.2761
DS9QwOEjtZU;0.2984
DXGonOCjTav;0.2976
DSRtCS7jnGX;0.3081
DTINIX7jsOm;0.329
DVlqdpuofJi;0.2644
DVqA9lQCMB3;0.2861
DVgNyhriNtn;0.2495
DVyJyHCoyal;0.2623
DSo4NOsDnRq;0.2829
DW_Y85EldJH;0.2605
DWCAWs1iCox;0.249
DXHHXHCCcgT;0.252
DXJsM3zibUp;0.2999
DWEYm7riHPW;0.3208
DXB9wXvkQo4;0.2482
DWD4O7tiJcr;0.3688
DXMRBetlLiz;0.2325
DXEhT7-jsJy;0.198
DVgLWW3CIDY;0.3493
DWBjc-BiA6-;0.3032
DSKFeTFjnt2;0.301
DXRbK38DM3W;0.2371
DXO1x-NCC5k;0.1747
DXQrA_0jvq3;0.27
DTkNTvlF3zS;0.2535
DXT_TNoj4Df;0.1849
DW85lspilIK;0.3086
DXWkHQnAsRS;0.2441
DTK_tKrDXs3;0.352
DURDVRDCI32;0.1742
DRgx6pxiByy;0.2763
DTe830ojmon;0.3317
DQ9DYVGjs2Z;0.351
DSKaIfiFhcS;0.3392
DTH5ocQDAMc;0.2981
DTigcpbjOyn;0.2364
DTSgXWbDah5;0.2455
DQiqMb_DhnI;0.2042
DRCM9WrjtFb;0.2725
DU-u3Jljsfe;0.2033
DRT5_MkDmVi;0.2483
DROwWkzAbdm;0.3182
DRJmW5KESJY;0.2606
DRboXapDRPH;0.3191
DWlpEQZkSwj;0.2142
DQt0XptgQN5;0.3153
DQ3lMB-CH-Q;0.327
DQtEQWBjmNA;0.2933
DWRCqLyAs94;0.2335
DWk1d0DDHm-;0.4061
DQ4Hgt0jmeW;0.2989
DQ6lpEcAAZE;0.2711
DRj2I1ODuFl;0.2831
DWTncqqigcL;0.1895
DQomPRvDhb2;0.2576
DQrRbjNDa8w;0.3004
DQyN1z-jWP2;0.3375
DRMLifyj68e;0.2804
DWlb2t7FEje;0.2923
DSZYkGrjC9V;0.3273
DWiVP96AE8O;0.3491
DSUkrmxDAR0;0.2598
DWd6n6mD1JJ;0.2399
DWYxBt2jWH0;0.2564
DQ_hYO8jUi7;0.2117
DWWMPeZggaK;0.2226
DWbV1NRgceI;0.2874
DWjEN2Vk60m;0.2279
DSsJpdCDG-G;0.2487
DScZSW5jCsp;0.2865
DWgLGvxDPxZ;0.1688
DSPnMuDDPRG;0.3875
DSkb8crjN7Y;0.2133
DSnAE6BjL8j;0.2353
DSpk1urDKtR;0.293
DQoIZkHDhRS;0.1827
DS4mHSFjKnm;0.2983
DS7R0D8DCQb;0.2749
DVMf89JiGPo;0.2345
DVX_zeIiLj_;0.2714
DVYAZe_iKyK;0.3287
DUHugIJCJJQ;0.2214
DVO6X1fiLN9;0.324
DVMfs3aCDL-;0.2687
DVRF9_RCMyN;0.2532
DVO6lljjpkF;0.2878
DWtXeL1ipwh;0.2409
DUYGVM-iN_6;0.349
DW3qjZfjcDh;0.245
DWoNzCxChJd;0.2232
DW8ZEQcGmuw;0.321
DW1FxNZDbnS;0.1929
DW6Pc5tFHYE;0.2074
DWqyl7vlIzO;0.2963
DRCT53DAXcY;0.2983
DS1zuecDLC0;0.2852
DRl7hUtgW--;0.3185
DR9lkQmjMsq;0.2058
DRmBxuCjPTR;0.2203
DRtp4TYlAGG;0.2707
DSErGl1jPiD;0.3353
DV8HsvgjHW4;0.1965
DSKdhqgDD_b;0.2967
DVsocbBDE-3;0.2573
DSE1KUcjrcu;0.2394
DV3SrNtD80c;0.1995
DR4b_cPjF6A;0.4105
DV53hf2Eop2;0.2251
DRR08Jyiog6;0.2523
DSAKbvCjEN5;0.2404
DR39HtJgmv4;0.2964
DWEKr45jLWk;0.258
DRzSbhZDEfq;0.239
DWL5GC_FZ3M;0.2923
DW80StjCdhc;0.2287
DV_BFLlAtic;0.2409
DSE4c6ujAu3;0.2803
DWGc_DrGmla;0.2927
DR1YTLCDIz2;0.309
DWGve9tjlkE;0.2288
DSkSa6hET9N;0.2459
DRhQzupjAyP;0.2829
DWOcsnUDIpz;0.2385
