Post_ID;Post_URL;Actor_Name;Post_Format;Posting_Date;Caption_Text;reviewed;changed;MANUAL_Empathy;MANUAL_Threat;MANUAL_Efficacy;MANUAL_Collective_ID;MANUAL_Normative;MANUAL_Moral;MANUAL_Economic;MANUAL_Scientific;MANUAL_Youth_Addressed;MANUAL_Interactivity;MANUAL_Emotional_Valence;MANUAL_Story_Structure;MANUAL_Primary_CTA;MANUAL_Primary_Topic;MANUAL_Language;MANUAL_Youth_Style;MANUAL_Protagonist;MANUAL_Onscreen_Text;MANUAL_Data_Visual
DUxWaDAiHXN;https://www.instagram.com/p/DUxWaDAiHXN/;NACSO;Image;2026-02-15;World Hippo Day 🦛  Namibia’s rivers and wetlands are home to one of Africa’s most powerful and fascinating giants: the hippopotamus. Found in river systems like the Kunene, Kavango, Kwando and Zambezi, hippos play a vital role in maintaining healthy aquatic ecosystems. As Namibia continues to champion community-based conservation, protecting hippos also means protecting livelihoods, biodiversity, and the delicate balance of our shared landscapes. Let’s celebrate these incredible water giants and commit to safeguarding the wetlands and rivers they depend on. #WorldHippoDay #NamibiaWildlife #CBNRM #ProtectOurWetlands #CommunityConservation;1;1;0;0;0;1;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;1;0
DXbU3-0DCwx;https://www.instagram.com/p/DXbU3-0DCwx/;Youth4CAN;Image;2026-04-22;Today, Youth4CAN stands for the planet 🌍  On this Earth Day, we reaffirm our commitment to climate action, sustainable futures, and youth-led change.   The choices we make today shape the world we inherit tomorrow, so let’s act boldly, think sustainably, and protect what matters most.  #EarthDay #Youth4CAN #ClimateAction #Sustainability;1;1;0;0;0;1;0;1;0;0;0;0;Hope;None;None;Wildlife;English;1;1;1;0
DXuf7d6EZeD;https://www.instagram.com/p/DXuf7d6EZeD/;Giraffe Conservation Foundation;Carousel;2026-04-29;We are proud to highlight our 🤝 ongoing partnership with the Samburu and Isiolo County Governments, the San Diego Zoo Wildlife Alliance and Twiga Walinzi in Kenya.  Such partnerships ensure that data serves a purpose. Our findings provide local managers with the evidence needed to build stronger ecosystem management plans and ensure the reticulated giraffe 🦒 using the landscape are safe. 🌍  #reticulatedgiraffe #conservationpartnerships #samburu #evidencebasedconservation #GiraffeConservationFoundation #Giraffeconservation #GCF;1;1;0;0;1;1;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DVAe29YCKEl;https://www.instagram.com/p/DVAe29YCKEl/;NACSO;Image;2026-02-21;World Pangolin Day | 21 February   Today, Namibia joins the world in celebrating one of nature’s most unique and most threatened species: the pangolin. These shy, scale-covered mammals play a vital role in controlling insect populations and maintaining healthy ecosystems.  In Namibia, pangolins face growing threats from illegal wildlife trade and habitat loss.   Protecting them means protecting our biodiversity and supporting the community-led conservation efforts that make our country a global leader in conservation.  Let’s stand together to protect Namibia’s pangolins because when we protect wildlife, we protect our future.🌎  #WorldPangolinDay #ProtectPangolins #NamibiaWildlife #CBNRM #ConservationNamibia;1;0;0;1;1;1;0;1;0;0;0;0;Mixed;Problem-Solution;None;Wildlife;English;0;1;1;0
DXhn93Tjbxw;https://www.instagram.com/p/DXhn93Tjbxw/;Giraffe Conservation Foundation;Image;2026-04-24;T.G.I.F. - Thank Giraffe It’s Friday! 🙏🦒  The weekend is so close ... we can almost taste it!  📷 @savannaimages - Thank you!  #GiraffeConservationFoundation #Giraffeconservation #giraffelovers #giraffebeauty #thankgiraffeitsfriday #TGIF #GCF;1;0;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DXgfcC4CBh-;https://www.instagram.com/p/DXgfcC4CBh-/;Ministry of Environment Forestry & Tourism;Carousel;2026-04-24;TOURISM: Minister Indileni Daniel on Thursday met with Namibia Tourism Board (NTB) Chairperson Olavi Hamwele to discuss ways to  strengthen the tourism sector.   The meeting discussed how the tourism sector can be developed further to benefit communities through MSME development and strategic partnerships with proper regulations and exploitation of the global market.   The meeting was attended by the Ministry’s Administration, Planning and Tourism Deputy Executive Director Seimy Shidute, NTB Chief Executive Seblon Chicalu and other MEFT senior officials and NTB executives.;1;0;0;0;0;0;0;0;1;0;0;0;Hope;None;None;Ecotourism;English;0;1;0;0
DUx-o2qCL2l;https://www.instagram.com/p/DUx-o2qCL2l/;NACSO;Image;2026-02-15;World Whale Day 🐋   Along Namibia’s wild Atlantic coastline, majestic whales grace our waters, a powerful reminder of the richness of our marine heritage. From the nutrient-rich Benguela Current to the shores of Lüderitz and Walvis Bay, these ocean giants are vital to healthy marine ecosystems. As Namibia advances sustainable ocean management and community stewardship, protecting whales means safeguarding biodiversity, supporting eco-tourism, and preserving the beauty of our Blue Economy. Let’s celebrate and protect the gentle giants of our seas. 🇳🇦 #WorldWhaleDay #NamibiaCoast #BlueEconomy #ProtectOurOceans #MarineConservation;1;1;0;0;1;1;0;0;1;0;0;0;Hope;Solution;None;Wildlife;English;0;1;1;0
DXmxhmVDVZm;https://www.instagram.com/p/DXmxhmVDVZm/;Giraffe Conservation Foundation;Image;2026-04-26;The future of giraffe conservation is taking flight. 🦒🛸  We recently teamed up with the @namibiandroneacademy  at Etosha Heights to put various drone technologies to the test. Our mission? To determine the most effective way to survey giraffe populations here in the reserve and across Africa.  But we aren't stopping there - stay tuned for more exciting updates later this year! 🛰️;1;0;0;0;0;0;0;0;0;1;0;0;Hope;Solution;Learn;Research;English;0;0;0;0
DVGf_p2iJ72;https://www.instagram.com/p/DVGf_p2iJ72/;NACSO;Carousel;2026-02-23;Strengthening community voices for better conservation 🌿  NACSO is hosting a three- day capacity-building workshop focused on understanding key policy frameworks shaping protected areas, wildlife management, forestry, and land governance. The session brings together stakeholders to build shared knowledge, strengthen participation, and advance community rights.  We are pleased to have Lawyer Willem Odendaal facilitating key sessions, providing expert legal insights on the Revised Concession Policy and the Draft Protected Areas & Wildlife Bill.  Together, we empower communities to lead in sustainable natural resource management. 💪🌍  #NACSO #CBNRM #CommunityGovernance #SustainableConservation #Namibia NaturalResourceManagement;1;1;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DXqj3iSiA-v;https://www.instagram.com/p/DXqj3iSiA-v/;Ministry of Environment Forestry & Tourism;Carousel;2026-04-28;BIODIVERSITY: The Ministry’s Wildlife Support Services Control Warden, Richard Fryer, on Monday underscored the importance of wildlife as a critical component of biodiversity, while addressing pupils at Delta Primary School in Windhoek.   Fryer made the remarks during a school environmental club initiative aimed at sensitising learners to the importance of conservation and environmental protection. Pupils took part in activities centred on various wildlife topics, putting their knowledge and observation skills to the test.  The programme is being implemented jointly with the Ministry of Information and Communication Technology, the Ministry of Education and other stakeholders to promote environmental awareness among learners under MEFT’s CEPA strategy.;1;0;0;0;0;0;0;0;0;0;1;0;Neutral;Solution;None;Education;English;0;1;0;0
DXivehMRBFx;https://www.instagram.com/p/DXivehMRBFx/;Ongava Game Reserve;Video;2026-04-25;Love, written in dust and golden light. Nature has always known how to show it.;1;0;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DVvS2FYjO4c;https://www.instagram.com/p/DVvS2FYjO4c/;WWF Namibia;Carousel;2026-03-11;In Namibia’s Bwabwata National Park, members of the Khwe Indigenous Community spend weeks harvesting devil’s claw, a powerful medicinal plant known for its anti-inflammatory properties. For thousands of rural harvesters, it’s more than a plant. It helps pay for school fees, food, health care and more.  With support from @fao and partners, communities are learning sustainable harvesting practices to ensure this valuable resource continues to support livelihoods for generations to come.  Learn more:  https://www.fao.org/newsroom/story/from-savannah-plant-to-global-remedy/en;1;1;0;0;1;0;0;0;1;0;0;0;Hope;Problem-Solution;Learn;Education;English;0;1;0;0
DXhEfFxiKkR;https://www.instagram.com/p/DXhEfFxiKkR/;Ministry of Environment Forestry & Tourism;Carousel;2026-04-24;LEGAL HUB: Minister Indileni Daniel on Friday launched the Sustainable Wildlife Management Programme Legal Hub in Windhoek, describing it as a strategic step forward in strengthening Namibia’s policy and legal framework for sustainable management of natural resources.   The hub is a website containing a collection of policy and legal documents relating to the governance and regulation of natural resources in Namibia. Namibia joins other countries with similar hubs, such as Botswana, Zambia and Zimbabwe, to mention a few.   The online hub is a central repository of information pertaining wildlife management laws that can be a dependable resource for scholars, practitioners, journalists and broader public. It was done in collaboration with FAO Namibia.;1;1;0;0;1;0;0;0;0;0;0;0;Neutral;None;None;Policy;English;0;1;0;0
DU2f6MXjhAG;https://www.instagram.com/p/DU2f6MXjhAG/;Save the Rhino Trust Namibia;Image;2026-02-17;Kunene is not an easy place. It is vast, rugged and unforgiving. Yet it is here that some of Namibia’s most important conservation work takes place. Save the Rhino Trust Namibia operates deep within this landscape, where skilled local trackers move quietly across riverbeds and mountains, protecting black rhinos through patience, presence and a profound respect for the land.  Photo credit: @marcuswestbergphotography   #SaveTheRhino #KuneneRegion #Namibia;1;1;0;0;1;0;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;0;0;0;0
DUh5k2lAUk4;https://www.instagram.com/p/DUh5k2lAUk4/;Save the Rhino Trust Namibia;Carousel;2026-02-09;In Namibia’s remote Kunene Region, even dung tells a story!  Save the Rhino Trust Namibia’s trackers read fresh droppings and tracks like a living map, following them across harsh terrain to understand where each rhino moves. These natural clues reveal identity, health and behaviour, quiet but powerful signals that help safeguard one of Africa’s most threatened species. #SaveTheRhino #BlackRhino #Namibia;1;1;0;0;1;0;0;0;0;1;0;0;Hope;Problem-Solution;None;Research;English;0;0;0;0
DVIyH5WjD2M;https://www.instagram.com/p/DVIyH5WjD2M/;WWF Namibia;Video;2026-02-24;Did you know WWF has been shaping conservation worldwide for decades?🐼 Now discover our impact in Namibia.  We are launching our new Getting to Know Our Partners in Conservation series, highlighting the organisations helping to protect Namibia’s wildlife, people and natural heritage.  Our first episode is a special Did You Know: WWF Edition.   Tap the link in our bio to watch and explore some of the work we’re doing to protect nature and support communities.  🎥Watch now and subscribe for more partner stories and conservation insights  #WWFNamibia #ConservationNamibia #PartnershipsForNature #CommunityConservation;1;0;0;0;1;0;0;0;0;0;0;0;Hope;None;Learn;Community;English;;;;
DXtx6MkCJiI;https://www.instagram.com/p/DXtx6MkCJiI/;Ministry of Environment Forestry & Tourism;Image;2026-04-29;HAPPY BIRTHDAY: The Minister, Deputy Minister, management and staff extend their felicitations to Executive Director Sikongo Haihambo on his birthday on Wednesday, 29 April. Haihambo serves as Executive Director and Accounting Officer of the Ministry.;1;0;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Community;English;0;1;1;0
DVYvpYOjOdh;https://www.instagram.com/p/DVYvpYOjOdh/;WWF Namibia;Image;2026-03-02;Dear Friend of Nature!  We are excited to share with you the December 2025-January 2026 edition of the WWF Namibia Newsletter. This edition brings inspiring highlights from across our landscapes, showcasing the dedication, innovation, and passion that continue to drive our conservation work.  From hosting senior staff members from WWF-US, to advancing our Nature-based Solutions initiatives, including tree planting and ecosystem restoration, these efforts demonstrate the strength of our partnerships and much more.  Click on the link in our bio to read more and see how your support is helping drive change.;1;1;0;0;1;1;0;0;0;0;0;0;Hope;Solution;Learn;Wildlife;English;0;0;1;0
DV8qrmUDGoW;https://www.instagram.com/p/DV8qrmUDGoW/;Save the Rhino Trust Namibia;Carousel;2026-03-16;Our Programmes and Partnership Assistant recently represented the organisation at the biennial Tusk Conservation Symposium in Zimbabwe. The symposium brought together over 70 delegates from TUSK project partners across the continent, creating space for knowledge exchange and strengthening networks that support the protection of Africa’s biodiversity.  We applaud the work of Tusk Trust for its longstanding commitment to conservation across the continent and for helping shape the conversation around the welfare and support of our rangers.  #Conservation #SRT #TUSK;1;1;0;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DVa3opXjgA4;https://www.instagram.com/p/DVa3opXjgA4/;Save the Rhino Trust Namibia;Image;2026-03-03;A footprint in the desert sand. A legacy millions of years old.  This World Wildlife Day, we stand in protecting Namibia’s desert adapted black rhino. Their survival depends on vigilance, partnership and hope.  Together, we keep them roaming free.  Photographer: @marcus westberg  #WorldWildlifeDay #SaveTheRhinoTrust;1;0;0;1;1;1;0;1;0;0;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DVF8oQhjpcp;https://www.instagram.com/p/DVF8oQhjpcp/;Save the Rhino Trust Namibia;Carousel;2026-02-23;To reach rhinos in Kunene’s most remote areas, Save the Rhino Trust Namibia uses a Mule Patrol Unit. Combining the speed of horses with the sure-footed endurance of donkeys, these mules carry trackers, binoculars, GPS units, and cameras across rocky passes, gullies, and soft dunes far beyond vehicle access.  As staff say, they have adapted to the desert “like a mule to the desert,” helping rangers follow rhino trails across once-inaccessible wilderness.  Photo credit: @marcuswestbergphotography   #SaveTheRhino #KuneneRegion #Namibia;1;0;0;0;1;0;0;0;0;1;0;0;Neutral;Problem-Solution;None;Wildlife;English;0;1;0;0
DUP4CreEVt1;https://www.instagram.com/p/DUP4CreEVt1/;Save the Rhino Trust Namibia;Video;2026-02-02;Meet Dicks /Kgao, our driver from the Nyae Nyae Conservancy. Earlier last year, with the support of Save the Rhino Trust, he travelled to South Africa to further his training at a wildlife college.   Here, he shares what rhinos mean to him and his community, reminding us that conservation is deeply personal, rooted in people, place, and heritage.  #SaveTheRhinoTrust #RhinoConservation;1;1;1;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Anti-poaching;English;0;1;0;0
DWny2u3DoHP;https://www.instagram.com/p/DWny2u3DoHP/;Save the Rhino Trust Namibia;Image;2026-04-02;Real data. Real rangers. Real impact.  In 2023, Save the Rhino Trust (SRT), in partnership with Wadappt, introduced the Rhino Guardianship Certificate, a verified, performance-based approach to conservation funding.  Each certificate is backed by real field data collected by rangers, from rhino sightings to kilometres walked, and linked directly to the individual behind the effort.  For over 40 years, SRT has shown that boots on the ground make the difference. Now, that impact can be measured, verified, and supported.  Explore more and see featured certificates: https://wadappt.io/  Photography: @marcuswestbergphotography   #SaveTheRhinoTrust #GuardianshipCertificate;1;0;0;0;1;0;0;0;1;1;0;0;Hope;Solution;Learn;Wildlife;English;0;1;0;0
DWBK6wwjrgc;https://www.instagram.com/p/DWBK6wwjrgc/;Save the Rhino Trust Namibia;Image;2026-03-18;Dehorning is a proactive way to protect rhinos, reducing the reward for poachers and giving these iconic animals a better chance to survive. Alongside experienced reserve managers and committed rangers, it forms part of a strategic, integrated approach to anti-poaching.  Photo credit: @Marcus Westberg  #SaveTheRhino #RhinoConservation #BlackRhino;1;1;1;0;1;0;0;0;0;0;0;0;Hope;Problem-Solution;None;Anti-poaching;English;0;1;0;0
DVskknKErzC;https://www.instagram.com/p/DVskknKErzC/;Save the Rhino Trust Namibia;Image;2026-03-10;For over 25 years, Save the Rhino Trust Namibia has collected vital data on black rhinos across the Kunene, tracking numbers, movements and trends. This information guides every conservation decision and now extends to understanding the human role in protecting these iconic animals.  Photo credit: @marcuswestbergphotography   #SaveTheRhino #BlackRhino #KuneneRegion;1;1;0;0;1;0;0;0;0;1;0;0;Neutral;Solution;None;Research;English;0;0;0;0
DXJwT-bjkEW;https://www.instagram.com/p/DXJwT-bjkEW/;Gobabeb Research & Training Centre;Carousel;2026-04-15;Meet Sarah Hartleitner, our newest intern! She’s a third-year student from the University of Applied Sciences Zittau/Görlitz, studying Ecology and Environmental Protection. Over the next five months, she’ll be working on her project in pollination ecology for her bachelor’s thesis. In the second picture, she can be seen presenting her GobaShare, a ‘get to know me’ presentation that forms part of the welcoming process at Gobabeb. We’re excited to have her on the team and look forward to her contributions!;1;1;0;0;0;0;0;0;0;1;0;0;Neutral;None;None;Research;English;0;1;0;0
DWQnsyXjpjb;https://www.instagram.com/p/DWQnsyXjpjb/;Save the Rhino Trust Namibia;Image;2026-03-24;Diceros bicornis. The black rhino’s name tells its story. Diceros comes from the Greek di and ceros, meaning two horns, while bicornis comes from the Latin bi and cornis, also meaning two horns. A name rooted in form, strength and ancient lineage.  In Namibia’s Kunene Region, these remarkable animals have adapted to one of the harshest environments on earth. Desert-adapted black rhinos endure extreme temperatures, survive days without water, and feed on hardy plants that few other mammals can tolerate. They move quietly through open spaces shaped by rock, wind and time.  Photo credit: @Marcus Westberg  #SaveTheRhinoTrust #BlackRhino;1;0;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DWws0QXjeph;https://www.instagram.com/p/DWws0QXjeph/;Giraffe Conservation Foundation;Image;2026-04-05;More learners. More impact. 📚🌍✨  The 2025 KEEP Impact Report is here! We’ve broken records for student reach and expanded our programs to be more inclusive than ever. 📈  Nature belongs to everyone. 👉 Click the link 🔗 in our BIO to see how we’re inspiring Namibia’s diverse future conservationists! 🧡  @naturalselectiontravel @aucklandzoo @ministry_of_environment_nam  @wilhelma_stuttgart  @blankparkzoo   #GiraffeConservationFoundation #giraffeconservation #KEEP #KEEPnamibia #environmentaleducation #wildlifeeducation #Impact #Education #SuccessStory #nextgenconservationists #futureleaders #GCF;1;1;0;0;1;0;0;0;0;1;1;0;Hope;Solution;Learn;Education;English;0;0;1;0
DVX-MaIDs-A;https://www.instagram.com/p/DVX-MaIDs-A/;Save the Rhino Trust Namibia;Image;2026-03-02;Shadowed by sky, forged by the wild. The black rhino stands as a symbol of resilience. Photo credit: @marcuswestbergphotography   #SaveTheRhino #BlackRhino #Namibia;1;1;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;0;0;0
DU8LQZCDHZD;https://www.instagram.com/p/DU8LQZCDHZD/;WWF Namibia;Carousel;2026-02-19;#ThrowbackThursday to an amazing field session with the WWF‑US team 🎥📸   We have been gathering stories across Namibia and the wider KAZA landscape, showcasing how communities, conservationists, and partners are working together to protect wildlife and strengthen coexistence with large carnivores.   More powerful stories coming soon! ✨  #KAZA #Coexistence #ConservationInAction;1;0;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DWgEfuPDuiu;https://www.instagram.com/p/DWgEfuPDuiu/;Save the Rhino Trust Namibia;Image;2026-03-30;Participatory Rhino Monitoring has been the foundation of Save the Rhino Trust Namibia’s work for more than four decades. Across the Kunene and northern Erongo regions, dedicated tracker teams patrol vast landscapes on foot, supported by vehicle patrols operating from remote field camps.  Pictured: vehicle patrol by @Marcus Westberg  #SaveTheRhino #ParticipatoryMonitoring #BlackRhino;1;0;0;0;1;0;0;0;0;1;0;0;Neutral;Solution;None;Research;English;0;0;0;0
DW4bUExGWiB;https://www.instagram.com/p/DW4bUExGWiB/;Giraffe Conservation Foundation;Image;2026-04-08;They stand tall, and so do we. 🦒💪  The GCF team brings 120+ years of direct on-the-ground experience to the fight for giraffe survival. With operations spanning 21 🌍 African countries, we are working harder than ever to secure a future for all four species of giraffe.  Our efforts extend to: 📍 21 countries of active protection, 📚 with 120+ years of combined expertise 🎯 One Goal: Saving giraffe in the wild.  The silent extinction stops with us. Are you standing with us? 🦒  #GiraffeConservationFoundation #giraffeconservation #combinedefforts #savegiraffe #protectgiraffe #wildlife #standtallforgiraffe #silentextinction #AfricaWildlife #GCF;1;1;0;0;1;1;0;1;0;0;0;0;Mixed;Problem-Solution;None;Wildlife;English;0;0;0;0
DXMoBOzDnXM;https://www.instagram.com/p/DXMoBOzDnXM/;Gobabeb Research & Training Centre;Carousel;2026-04-16;At Gobabeb, we are committed to developing the skills of young emerging environmental scientists. Vianda Kauzuu, an intern from @nustnamibia , presenting her research proposal on evaluating the effects of solar-distilled grey water on vegetables grown in distinct soil conditions. Her project aligns with Namibia’s Sixth National Development Plan (NDP6), particularly Pillar 3: Environmental Sustainability. In a country as water scarce as Namibia, her research explores innovative solutions by reusing grey water, reducing freshwater demand and using solar distillation, which supports climate-smart agriculture and renewable energy use. If you happen to visit Gobabeb and are interested in her work, feel free to chat with her, she’s always happy to share insights about her project and its importance for farmers facing water scarcity.;1;1;0;0;1;1;0;0;0;1;0;0;Hope;Problem-Solution;Learn;Research;English;0;1;0;0
