post_id,genre_consolidated,functional_genre,narrative_structure,actual_cta,cta_present,target_audience,register_tone,image_role,image_caption_relation,n_appeals,appeal_emotional,appeal_identity,appeal_informational,appeal_aesthetic,appeal_social_normative,appeal_economic,audience_general_public,audience_supporters,audience_tourists,audience_peers_researchers,audience_donors,audience_youth,audience_policymakers,audience_local_community,vq_aesthetic_ord,vq_effort_ord,vq_human_ord,vq_text_ord,has_people,mood_warm,mood_cool,mood_muted,mood_vibrant,species_congruence,caption_species_set,visual_species_set,missed_visual_flag
DWOMpv0ipjl,Awareness-day & cause,awareness-day tribute,explainer/list,Let us celebrate the global team of people that make weather information happen,1,general-public|supporters,warm-personal,illustrative,adds-info,3,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,neither,,,False
DWV5l8TCp7a,Awareness-day & cause,awareness-day observance,explainer/list,Do better!,1,general-public|youth|local-community,institutional-formal,illustrative,adds-info,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,3,3,0,3,0,1,0,1,0,neither,,,False
DWbxil5DMTW,Awareness-day & cause,awareness day mobilisation,none,Give one hour back to the planet. Plant. Restore. Learn. Protect.,1,general-public,warm-personal,symbolic,adds-info,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,3,3,2,1,1,0,0,1,neither,,,False
DXbe6nYCnwx,Awareness-day & cause,awareness day commemoration,showcase,none,0,"general-public, supporters",institutional-formal,text-carrier,adds-info,3,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,2,0,1,1,0,0,shows_not_names,,rhino;seal;springbok;turtle;whale,False
DXbynlCjsnU,Awareness-day & cause,awareness day greeting,none,none,0,general-public,warm-personal,text-carrier,repeats,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,3,1,0,1,0,1,neither,,,False
DXceVTokb5e,Awareness-day & cause,awareness day commemoration,showcase,How are you using your power for the planet today?,1,"general-public, supporters",warm-personal,illustrative,repeats,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,match,giraffe,giraffe,False
DQn6pZKjmE6,Wildlife showcase & feel-good,conservation milestone showcase,milestone,none,0,tourists|general-public|supporters,institutional-formal,illustrative,repeats,3,1,1,0,1,0,0,1,1,1,0,0,0,0,0,3,2,0,0,0,1,1,1,0,shows_not_names,,elephant,True
DRmBxuCjPTR,Tourism & lodge,destination experience promotion,showcase,Ready to join the adventure? Contact us at info@ehranamibia.org,1,tourists,warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,0,0,0,names_not_shows,elephant,,True
DSW2mrgjs6h,Tourism & lodge,wildlife lodge showcase,anecdote,none,0,tourists,warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,match,leopard,leopard,False
DU-OQhPjn88,Programme/fieldwork/impact,conservation operations showcase,showcase,none,0,general-public|supporters|donors,warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,3,3,1,0,1,1,0,0,0,names_not_shows,rhino;wild dog,,True
DUYx4VLDCYU,Recruitment/fundraising/participation,fundraiser milestone thank-you,milestone,none,0,"supporters,donors",warm-personal,illustrative,adds-info,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2,2,2,1,1,1,0,0,0,names_not_shows,baboon,,True
DV6hPrUj1sO,Recruitment/fundraising/participation,volunteer donor thank-you,anecdote,none,0,"supporters,donors,general-public",warm-personal,illustrative,adds-info,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2,2,3,1,1,1,1,0,1,neither,,,False
DVF8tnJDu1d,Other/unmapped,brand origin narrative,anecdote,none,0,"general-public, supporters, tourists",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,3,3,2,0,1,1,0,0,0,neither,,,True
DW0itq8DiiZ,Tourism & lodge,lodge atmosphere showcase,showcase,none,0,tourists,warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,1,0,match,kudu,kudu,False
DW85lspilIK,Other/unmapped,nostalgic throwback post,anecdote,none,0,"general-public, supporters",playful,illustrative,adds-info,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,neither,,,False
DWYj25RjKBe,Other/unmapped,wildlife moment share,anecdote,none,0,"general-public, supporters",warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,match,elephant,elephant,False
DWqKBa7j5v4,Seasonal greeting,seasonal holiday greeting,none,none,0,"general-public, supporters",playful,text-carrier,repeats,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,match,lion,lion,False
DXEgAVWCtkH,Other/unmapped,community action recap,showcase,none,0,"supporters,local-community,youth",warm-personal,illustrative,repeats,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,2,3,2,1,1,0,0,1,neither,,,False
DXG8IUMDeZj,Tourism & lodge,lodge rebrand announcement,milestone,Discover the full story behind Horizon in our latest blog. Link in bio,1,tourists,promotional,illustrative,repeats,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,neither,,,True
DRjpDiHjHFV,Programme/fieldwork/impact,programme update inform,explainer/list,Follow their journey and see how bees are becoming champions of change.,1,"general-public, supporters, peers/researchers",warm-personal,illustrative,repeats,3,1,1,1,0,0,0,1,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,match,bee,bee,True
DS62I6pDk7E,Recognition/tribute/gratitude,year-end visitor thank-you,milestone,Can you spot your pin on our map? Let us know in the comments!,1,tourists,warm-personal,data-viz,adds-info,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,neither,,,False
DSRtCS7jnGX,Programme/fieldwork/impact,community programme showcase,showcase,none,0,donors|supporters|general-public,warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,2,1,0,1,1,0,0,0,neither,,,False
DUiOGOniVHI,Other/unmapped,contemplative nature storytelling,anecdote,none,0,"general-public, supporters",warm-personal,illustrative,adds-info,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,neither,,,False
DV1RBwxDDEe,Recruitment/fundraising/participation,volunteer recruitment invite,showcase,Come visit our Naankuse Costal Project for a wild week full of fun and impact!,1,tourists|supporters,playful,text-carrier,repeats,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,2,0,0,1,1,0,neither,,,True
DV_xrwzjCSH,Other/unmapped,staff achievement celebration,milestone,none,0,"supporters, general-public, local-community",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,0,1,1,1,0,1,neither,,,False
DW8ck9sijNW,Recruitment/fundraising/participation,competition recruitment call,none,"Enter the NYCE writing competition — stand a chance to win N$ 1,500, earn points and have your essay published on the NYCE website.",1,youth,playful,decorative,unrelated,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,1,1,1,1,1,0,1,neither,,,True
DWURr-cDbzB,Recruitment/fundraising/participation,event invitation,none,"RSVP by DM, WhatsApp or email: info@tosco.org",1,"peers/researchers,tourists",institutional-formal,text-carrier,repeats,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,2,0,3,0,1,0,0,0,match,elephant,elephant,False
DR-SMDzDZx2,Programme/fieldwork/impact,programme impact showcase,showcase,none,0,"supporters, donors, general-public",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,3,0,1,1,1,0,1,names_not_shows,giraffe,,True
DTyJ9OpgXzm,Awareness-day & cause,awareness day teaser,milestone,none,0,general-public|supporters,promotional,text-carrier,repeats,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,3,0,1,0,0,0,match,giraffe,giraffe,False
DUoOpqdjEUM,Educational explainer,research findings dissemination,explainer/list,Click the link in our BIO to read the full paper!,1,general-public|peers/researchers|supporters,warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,match,giraffe,giraffe,False
DV6oG8iDJKi,Programme/fieldwork/impact,conference presence report,milestone,none,0,peers/researchers|supporters|general-public,warm-personal,illustrative,repeats,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,2,2,1,2,1,1,0,0,0,match,giraffe,giraffe,False
DVWk_9XDbv8,Programme/fieldwork/impact,programme milestone showcase,milestone,none,0,donors|supporters|peers/researchers,warm-personal,illustrative,adds-info,3,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2,2,2,0,1,1,1,1,0,match,giraffe,giraffe,False
DW4VErZEjmD,Programme/fieldwork/impact,staff training report,anecdote,none,0,"peers/researchers,supporters",warm-personal,illustrative,repeats,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,2,2,1,1,0,0,1,neither,,,False
DXB-DjOjmZ2,Programme/fieldwork/impact,program outreach inform,anecdote,Want to learn more? Visit cheetah.org,1,general-public|supporters,warm-personal,illustrative,repeats,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,names_not_shows,cheetah,,True
DXMiL7jjXgk,Programme/fieldwork/impact,wildlife programme update,anecdote,none,0,"general-public, supporters, peers/researchers",warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,0,1,0,0,0,match,cheetah,cheetah,False
DXca0cil6Mk,Awareness-day & cause,awareness day action list,explainer/list,Visit cheetah.org,1,general-public|supporters|donors,warm-personal,decorative,unrelated,2,0,0,1,0,1,0,1,1,0,0,1,0,0,0,2,2,1,0,1,1,0,1,0,names_not_shows,cheetah,,True
DT_B707iWMb,Recognition/tribute/gratitude,partner gratitude post,anecdote,none,0,"supporters, general-public",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,3,0,1,1,0,0,1,neither,,,False
DTamIGPCnjn,Recruitment/fundraising/participation,job vacancy announcement,none,"For further details, please visit the NCE website at https://n-c-e.org/vacancies-and-opportunities/",1,local-community,institutional-formal,text-carrier,repeats,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,neither,,,False
DTfkmjZiIqB,Recruitment/fundraising/participation,job vacancy announcement,none,"Apply via email: applications@nacso.org.na (Subject: NTI MD APPLICATION) or hand-deliver to NACSO offices, 7 Rossini Street, Windhoek; please share widely within your networks",1,peers/researchers,institutional-formal,text-carrier,repeats,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,3,0,1,1,1,0,neither,,,False
DUq4ZLtj73l,Wildlife showcase & feel-good,women-in-science showcase,showcase,visit cheetah.org,1,"general-public,supporters,donors",warm-personal,illustrative,adds-info,3,1,1,1,0,0,0,1,1,0,0,1,0,0,0,2,2,2,2,1,1,0,0,0,match,cheetah,cheetah,False
DV1dpcLjf4m,Other/unmapped,beneficiary spotlight,anecdote,none,0,"supporters,donors,tourists,general-public",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,1,0,1,0,0,0,2,2,1,1,1,1,0,0,1,neither,,,True
DVIyH5WjD2M,Broadcast & media,partner series launch,milestone,Tap the link in our bio to watch and subscribe for more partner stories and conservation insights,1,general-public|supporters,promotional,illustrative,repeats,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,neither,,,True
DVqcuKHmK2G,Recruitment/fundraising/participation,volunteer recruitment ad,none,Apply now via the link for full details: https://www.naankuse.org/careers,1,youth,warm-personal,text-carrier,repeats,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,2,1,1,0,0,0,neither,,,False
DXEY-ltlqzA,Recruitment/fundraising/participation,staff story fundraise,anecdote,"If you would like to help us continue investing in education and changing lives, you can support the Naankuse Foundation Schools here: https://naankusefoundation.salsalabs.org/naankuseprimaryschool0/index.html",1,"donors,supporters,general-public",warm-personal,illustrative,repeats,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,1,2,1,1,0,1,0,neither,,,False
DS1zuecDLC0,Programme/fieldwork/impact,program showcase,showcase,none,0,"general-public, supporters, donors",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,2,0,1,1,0,0,0,neither,,,False
DTCaWV3DqXt,Recruitment/fundraising/participation,audience engagement quiz,none,Drop your guess in the comments 👇,1,"general-public, supporters",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,1,1,1,0,neither,,,False
DTczhoqCMi3,Other/unmapped,research visit acknowledgement,anecdote,none,0,peers/researchers,institutional-formal,illustrative,repeats,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,2,1,1,1,0,1,0,neither,,,False
DUQylVEiPWw,Awareness-day & cause,awareness day celebration,milestone,none,0,general-public|supporters,warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,3,1,1,0,1,0,1,match,flamingo,flamingo,False
DUxWaDAiHXN,Awareness-day & cause,awareness day commemoration,none,Let's celebrate these incredible water giants and commit to safeguarding the wetlands and rivers they depend on.,1,"general-public,peers/researchers,supporters",warm-personal,text-carrier,repeats,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,3,2,0,1,0,1,1,1,0,match,hippo,hippo,False
DV8qrmUDGoW,Programme/fieldwork/impact,peer network report,milestone,none,0,"peers/researchers, supporters",institutional-formal,illustrative,adds-info,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3,3,3,0,1,1,1,0,0,neither,,,False
DWd8TPlCGNF,Programme/fieldwork/impact,event news report,anecdote,none,0,general-public,institutional-formal,illustrative,repeats,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,1,1,0,1,0,neither,,,True
DWjdIZtjHgI,Institutional announcement,policy milestone announcement,milestone,none,0,"peers/researchers, policymakers, supporters",institutional-formal,illustrative,adds-info,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,2,2,1,1,1,0,0,0,neither,,,True
DWn1ukqCqP6,Recruitment/fundraising/participation,competition announcement,none,"Focus on two to three Sustainable Development Goals of your choice, and don't forget to use examples from your community.",1,youth,promotional,text-carrier,repeats,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,3,0,1,0,0,0,neither,,,False
DXt_IDBD93L,Rescue & animal case,ambassador adoption pitch,anecdote,👉 https://www.naankuse.com/product-page/kovu,1,tourists|supporters|general-public,warm-personal,illustrative,repeats,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,match,cheetah,cheetah,True
DXuRr8pGfJ_,Broadcast & media,content series announcement,none,visit youtube.com/ccfcheetah,1,general-public|supporters,promotional,text-carrier,repeats,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,2,0,2,0,1,0,0,0,match,cheetah,cheetah,True
DQ33W_MDIWT,Recruitment/fundraising/participation,consultant recruitment notice,none,Scan the QR code to access the TOR and the application email address.,1,peers/researchers,institutional-formal,text-carrier,repeats,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,3,0,0,1,0,1,match,elephant,elephant,False
DRQ69T9ir4N,Recruitment/fundraising/participation,survey participation call,explainer/list,Scan the QR code to participate and stand a chance to win 1 of 28 N$ 500 cash vouchers.,1,"general-public, youth",institutional-formal,text-carrier,repeats,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,2,0,3,0,1,0,0,0,neither,,,False
DRUeLV4kVdA,Programme/fieldwork/impact,initiative launch announcement,milestone,Read the full story via the 🔗 in Bio!,1,peers/researchers|policymakers|donors,institutional-formal,illustrative,repeats,2,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,2,1,2,1,1,1,0,0,shows_not_names,,penguin,False
DUaqWnPCDxU,Institutional announcement,institutional meeting report,milestone,none,0,peers/researchers,institutional-formal,illustrative,repeats,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,2,0,1,0,1,1,0,neither,,,False
DVdH45gAVk4,Programme/fieldwork/impact,project delivery announcement,milestone,none,0,peers/researchers|donors|policymakers,institutional-formal,illustrative,adds-info,2,0,0,1,0,1,0,0,0,0,1,1,0,1,0,2,2,2,2,1,1,0,0,0,neither,,,False
DW3WLwbiIzy,Institutional announcement,institutional personnel announcement,milestone,none,0,general-public|peers/researchers|policymakers,institutional-formal,illustrative,repeats,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,2,2,0,1,1,0,1,0,neither,,,False
DW4hFLgDm7x,Institutional announcement,institutional meeting report,anecdote,none,0,general-public|peers/researchers|policymakers,institutional-formal,illustrative,repeats,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,2,2,0,1,1,1,0,1,neither,,,False
DWUhj7VjtYE,Programme/fieldwork/impact,event coverage report,anecdote,none,0,peers/researchers|policymakers|supporters,institutional-formal,illustrative,adds-info,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,2,1,0,1,1,1,1,0,neither,,,True
DXM5JzSjdGk,Programme/fieldwork/impact,event coverage report,explainer/list,"Story in full, available here: www.eif.org.na",1,peers/researchers|policymakers|donors,institutional-formal,illustrative,adds-info,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,3,1,0,1,0,0,1,0,neither,,,True
DXMfT__iL4g,Recognition/tribute/gratitude,staff congratulation announcement,milestone,none,0,general-public,institutional-formal,illustrative,repeats,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,1,neither,,,False
DQomPRvDhb2,Wildlife showcase & feel-good,capacity showcase,showcase,none,0,"general-public, supporters",warm-personal,illustrative,adds-info,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,1,1,1,0,1,neither,,,False
DUaaK2PjUEr,Institutional announcement,service disruption notice,none,kindly contact us via email at info@eif.org.na,1,"peers/researchers, donors, general-public",institutional-formal,text-carrier,repeats,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,2,2,0,3,0,0,0,0,0,neither,,,False
DUdtwy-jdBl,Rescue & animal case,release milestone narrative,anecdote,none,0,general-public|supporters|donors,warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,2,0,1,1,0,0,0,match,caracal,caracal,True
DUwbUUNj_NO,Seasonal greeting,seasonal greeting,none,none,0,general-public,warm-personal,text-carrier,repeats,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,1,match,cheetah,cheetah,False
DVWk_muDRUJ,Rescue & animal case,wildlife rescue narrative,anecdote,none,0,"general-public, supporters, tourists",warm-personal,illustrative,unrelated,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,3,2,2,0,1,1,0,0,0,neither,,,True
DW9CcE-D6SX,Wildlife showcase & feel-good,wildlife character showcase,showcase,none,0,tourists|general-public,warm-personal,illustrative,repeats,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,0,neither,,,True
DWk1d0DDHm-,Programme/fieldwork/impact,periodic stats report,explainer/list,none,0,general-public|supporters,institutional-formal,text-carrier,repeats,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,0,3,0,0,1,0,0,match,seal,seal,False
DXg3UF6CdnC,Programme/fieldwork/impact,operational readiness update,milestone,none,0,"supporters, general-public",warm-personal,illustrative,adds-info,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,neither,,,True
DXpWrXrDEJt,Rescue & animal case,behind-the-scenes rescue update,anecdote,Visit cheetah.org,1,general-public|supporters|donors,warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,1,1,1,0,match,cheetah,cheetah,True
DXvye8QFSV3,Recruitment/fundraising/participation,audience engagement quiz,none,Drop your answer in the comment section.,1,general-public|supporters,playful,text-carrier,repeats,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,2,3,1,0,1,0,1,names_not_shows,seal,,True
DQ87jsuDEw5,Educational explainer,educational species spotlight,explainer/list,none,0,"general-public, youth, local-community",institutional-formal,text-carrier,adds-info,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,2,0,3,0,1,0,0,0,neither,,,False
DSFsknpDGEy,Educational explainer,method explainer,explainer/list,none,0,peers/researchers,institutional-formal,decorative,unrelated,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,1,0,1,0,neither,,,True
DSMVuCOCTl_,Recognition/tribute/gratitude,memorial tribute post,anecdote,none,0,"peers/researchers,supporters",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,names_not_shows,baboon;gemsbok,,False
DSRfVglE9R7,Programme/fieldwork/impact,event documentation,showcase,none,0,peers/researchers,institutional-formal,text-carrier,adds-info,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,2,1,1,0,0,1,neither,,,False
DScAMoqDGfB,Educational explainer,wildlife behaviour explainer,explainer/list,none,0,"general-public, tourists",warm-personal,illustrative,repeats,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,1,match,lion,lion,True
DUYS-aeDTbR,Other/unmapped,team member introduction,none,none,0,general-public|peers/researchers,warm-personal,illustrative,adds-info,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,2,1,0,1,0,1,1,0,neither,,,False
DUz7IcljPlu,Educational explainer,research instrument explainer,explainer/list,none,0,"general-public, peers/researchers",institutional-formal,illustrative,adds-info,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,1,0,neither,,,False
DVAe29YCKEl,Awareness-day & cause,awareness day commemoration,explainer/list,Let's stand together to protect Namibia's pangolins,1,"general-public,supporters",institutional-formal,illustrative,repeats,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,2,0,1,0,1,0,match,pangolin,pangolin,False
DW6x4dRjNxf,Other/unmapped,research milestone narrative,anecdote,none,0,general-public|supporters|peers/researchers,warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,1,0,1,0,match,pangolin,pangolin,False
DWD7q9hijMg,Educational explainer,recurring educational feature,explainer/list,none,0,youth|general-public,institutional-formal,text-carrier,adds-info,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,3,0,1,0,0,0,neither,,,False
DWGywKJiuW1,Programme/fieldwork/impact,fieldwork science communication,explainer/list,none,0,general-public|peers/researchers,institutional-formal,illustrative,adds-info,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,0,mismatch,insect,bee,False
DQuKrLZDCfh,Other/unmapped,case-update narrative,anecdote,none,0,"supporters, general-public",warm-personal,illustrative,repeats,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,match,rhino,rhino,True
DR9lkQmjMsq,Wildlife showcase & feel-good,wildlife beauty share,showcase,none,0,"general-public, tourists",warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,neither,,,False
