post_id,idx,stance,engages_frame,affect
DXt_IDBD93L,2,support,False,positive
DXt_IDBD93L,3,support,True,positive
DXuRr8pGfJ_,0,support,True,positive
DXuRr8pGfJ_,1,spam,False,neutral
DXuRr8pGfJ_,2,support,False,positive
DXuRr8pGfJ_,3,support,True,positive
DXuRr8pGfJ_,4,support,False,positive
DXuRr8pGfJ_,5,support,False,positive
DUdtwy-jdBl,0,support,True,positive
DUdtwy-jdBl,1,support,True,positive
DUdtwy-jdBl,2,support,True,positive
DUdtwy-jdBl,3,support,True,positive
DUdtwy-jdBl,4,support,True,positive
DUdtwy-jdBl,5,support,True,positive
DUwbUUNj_NO,0,support,True,positive
DUwbUUNj_NO,1,support,True,positive
DUwbUUNj_NO,2,support,True,positive
DUwbUUNj_NO,3,question,False,negative
DWk1d0DDHm-,0,support,True,positive
DWk1d0DDHm-,1,support,False,positive
DWk1d0DDHm-,2,support,True,positive
DWk1d0DDHm-,3,support,False,positive
DWk1d0DDHm-,4,support,True,positive
DWk1d0DDHm-,5,support,False,positive
DWk1d0DDHm-,6,support,False,positive
DWk1d0DDHm-,7,support,False,positive
DWk1d0DDHm-,8,support,True,positive
DWk1d0DDHm-,9,support,True,positive
DWk1d0DDHm-,10,support,True,positive
DWk1d0DDHm-,11,support,True,positive
DWk1d0DDHm-,12,support,False,positive
DWk1d0DDHm-,13,support,False,positive
DWk1d0DDHm-,14,support,True,positive
DXg3UF6CdnC,0,off-topic,False,neutral
DXg3UF6CdnC,1,support,True,positive
DXg3UF6CdnC,2,support,True,positive
DXg3UF6CdnC,3,support,True,positive
DXg3UF6CdnC,4,support,True,neutral
DXg3UF6CdnC,5,support,False,positive
DXg3UF6CdnC,6,support,False,positive
DXg3UF6CdnC,7,support,False,positive
DXg3UF6CdnC,8,support,True,positive
DXg3UF6CdnC,9,support,True,positive
DXg3UF6CdnC,10,support,True,positive
DXg3UF6CdnC,11,support,True,positive
DXg3UF6CdnC,12,support,False,positive
DXg3UF6CdnC,13,support,False,positive
DXg3UF6CdnC,14,support,True,positive
DXpWrXrDEJt,0,support,True,positive
DXpWrXrDEJt,1,support,True,negative
DXpWrXrDEJt,2,support,False,positive
DXpWrXrDEJt,3,spam,False,neutral
DXpWrXrDEJt,4,support,False,positive
DXpWrXrDEJt,5,support,True,positive
DXpWrXrDEJt,6,support,False,positive
DXpWrXrDEJt,7,support,False,positive
DXpWrXrDEJt,8,support,False,positive
DXpWrXrDEJt,9,support,False,positive
DXpWrXrDEJt,10,support,True,positive
DXpWrXrDEJt,11,support,True,positive
DXpWrXrDEJt,12,support,False,positive
DXpWrXrDEJt,13,support,False,positive
DXpWrXrDEJt,14,support,False,positive
DXvye8QFSV3,0,support,True,positive
DXvye8QFSV3,1,support,True,positive
DXvye8QFSV3,2,support,True,neutral
DXvye8QFSV3,3,support,True,neutral
DXvye8QFSV3,4,support,True,neutral
DXvye8QFSV3,5,support,True,positive
DXvye8QFSV3,6,support,True,neutral
DXvye8QFSV3,7,support,True,neutral
DXvye8QFSV3,8,support,True,positive
DXvye8QFSV3,9,support,True,neutral
DXvye8QFSV3,10,support,True,neutral
DXvye8QFSV3,11,support,False,positive
DXvye8QFSV3,12,support,True,neutral
DXvye8QFSV3,13,support,True,positive
DXvye8QFSV3,14,support,True,positive
DSFsknpDGEy,0,spam,True,neutral
DSFsknpDGEy,1,support,True,positive
DSFsknpDGEy,2,support,True,positive
DSMVuCOCTl_,0,support,True,positive
DSMVuCOCTl_,1,support,True,positive
DSMVuCOCTl_,2,support,True,negative
DSMVuCOCTl_,3,support,False,neutral
DW6x4dRjNxf,0,support,True,positive
DW6x4dRjNxf,1,support,True,positive
DW6x4dRjNxf,2,off-topic,False,neutral
DW6x4dRjNxf,3,spam,False,neutral
DW6x4dRjNxf,4,support,True,positive
DW6x4dRjNxf,5,support,True,positive
DW6x4dRjNxf,6,support,True,positive
DW6x4dRjNxf,7,support,True,positive
DW6x4dRjNxf,8,support,True,positive
DW6x4dRjNxf,9,support,True,positive
DW6x4dRjNxf,10,support,True,positive
DW6x4dRjNxf,11,support,True,positive
DW6x4dRjNxf,12,support,True,positive
DW6x4dRjNxf,13,support,True,positive
DW6x4dRjNxf,14,support,True,positive
DR5IqOsiJb_,0,support,True,negative
DR5IqOsiJb_,1,support,True,negative
DR5IqOsiJb_,2,support,False,positive
DR5IqOsiJb_,3,off-topic,False,neutral
DR5IqOsiJb_,4,support,True,negative
DR5IqOsiJb_,5,spam,False,neutral
DR5IqOsiJb_,6,support,False,positive
DSvNTG6DxNi,0,support,False,positive
DSvNTG6DxNi,1,support,False,positive
DSvNTG6DxNi,2,support,False,positive
DSvNTG6DxNi,3,support,False,positive
DSvNTG6DxNi,4,support,False,positive
DTlR_2oEp9y,0,support,False,positive
DTlR_2oEp9y,1,support,True,positive
DTlR_2oEp9y,2,support,True,positive
DTlR_2oEp9y,3,support,True,positive
DTlR_2oEp9y,4,support,False,positive
DWmZr1-Ewni,0,off-topic,False,neutral
DWmZr1-Ewni,1,support,True,positive
DWmZr1-Ewni,2,support,True,positive
DQyN1z-jWP2,0,off-topic,False,positive
DQyN1z-jWP2,1,support,True,positive
DQyN1z-jWP2,2,support,False,positive
DTTQcXSDwcQ,0,off-topic,False,neutral
DTTQcXSDwcQ,1,support,True,positive
DTTQcXSDwcQ,2,support,False,positive
DTTQcXSDwcQ,3,support,False,positive
DTTQcXSDwcQ,4,support,False,positive
DXgjOMjoc5M,0,support,True,positive
DXgjOMjoc5M,1,support,True,positive
DXgjOMjoc5M,2,support,True,positive
DXgjOMjoc5M,3,support,True,positive
DXgjOMjoc5M,4,support,True,positive
DXgjOMjoc5M,5,support,True,positive
DXgjOMjoc5M,6,support,False,positive
DXgjOMjoc5M,7,support,True,positive
DXgjOMjoc5M,8,support,True,positive
DXgjOMjoc5M,9,support,True,positive
DXgjOMjoc5M,10,support,True,positive
DXgjOMjoc5M,11,support,False,positive
DXgjOMjoc5M,12,support,True,positive
DXgjOMjoc5M,13,support,True,positive
DXgjOMjoc5M,14,support,True,positive
DV8HsvgjHW4,0,support,False,positive
DV8HsvgjHW4,1,support,False,positive
DV8HsvgjHW4,2,support,True,positive
DV8HsvgjHW4,3,support,False,positive
DV8HsvgjHW4,4,support,True,positive
DV8HsvgjHW4,5,support,False,positive
DV8HsvgjHW4,6,support,False,positive
DV8HsvgjHW4,7,support,False,positive
DV8HsvgjHW4,8,support,True,positive
DV8HsvgjHW4,9,support,True,positive
DV8HsvgjHW4,10,support,False,positive
DV8HsvgjHW4,11,support,False,positive
DV8HsvgjHW4,12,support,False,positive
DV8HsvgjHW4,13,support,False,positive
DV8HsvgjHW4,14,support,False,positive
DVe15yLj6YW,0,support,True,positive
DVe15yLj6YW,1,support,True,positive
DVe15yLj6YW,2,support,True,positive
DVe15yLj6YW,3,support,True,positive
DVe15yLj6YW,4,support,True,positive
DVe15yLj6YW,5,support,True,positive
DVe15yLj6YW,6,support,True,positive
DVe15yLj6YW,7,support,True,positive
DVe15yLj6YW,8,support,True,positive
DVe15yLj6YW,9,support,True,positive
DVe15yLj6YW,10,off-topic,False,neutral
DVe15yLj6YW,11,support,True,positive
DVe15yLj6YW,12,support,True,positive
DVe15yLj6YW,13,support,True,positive
DVe15yLj6YW,14,support,True,positive
DVn1_0tkheU,0,support,True,positive
DVn1_0tkheU,1,support,True,positive
DVn1_0tkheU,2,support,True,positive
DVn1_0tkheU,3,support,True,positive
DVn1_0tkheU,4,support,False,positive
DVn1_0tkheU,5,support,True,positive
DVn1_0tkheU,6,support,False,positive
DVn1_0tkheU,7,support,False,positive
DVn1_0tkheU,8,support,True,positive
DVn1_0tkheU,9,support,False,positive
DVn1_0tkheU,10,support,False,positive
DVn1_0tkheU,11,support,False,positive
DVn1_0tkheU,12,support,False,positive
DVn1_0tkheU,13,support,False,positive
DVn1_0tkheU,14,support,False,positive
DW1FxNZDbnS,0,support,True,positive
DW1FxNZDbnS,1,support,True,positive
DW1FxNZDbnS,2,support,True,positive
DW1FxNZDbnS,3,support,True,positive
DW1FxNZDbnS,4,support,False,positive
DW1FxNZDbnS,5,support,False,positive
DW1FxNZDbnS,6,support,False,positive
DW1FxNZDbnS,7,support,False,positive
DW1FxNZDbnS,8,support,False,positive
DW1FxNZDbnS,9,support,False,positive
DW1FxNZDbnS,10,support,True,negative
DW1FxNZDbnS,11,support,True,positive
DW1FxNZDbnS,12,support,True,negative
DW1FxNZDbnS,13,support,False,positive
DW1FxNZDbnS,14,support,True,positive
DW69EwJESBc,0,support,True,positive
DW69EwJESBc,1,support,True,positive
DW69EwJESBc,2,support,True,positive
DW69EwJESBc,3,support,True,positive
DW69EwJESBc,4,support,True,positive
DW69EwJESBc,5,support,True,positive
DW69EwJESBc,6,off-topic,False,neutral
DW69EwJESBc,7,support,True,positive
DW69EwJESBc,8,support,True,positive
DW69EwJESBc,9,support,True,positive
DW69EwJESBc,10,support,True,positive
DW69EwJESBc,11,support,True,positive
DW69EwJESBc,12,off-topic,False,neutral
DW69EwJESBc,13,question,True,positive
DW69EwJESBc,14,support,True,positive
DWgLGvxDPxZ,0,support,False,positive
DWgLGvxDPxZ,1,support,False,positive
DWgLGvxDPxZ,2,support,True,positive
DWgLGvxDPxZ,3,support,True,positive
DWgLGvxDPxZ,4,support,True,negative
DWgLGvxDPxZ,5,question,True,neutral
DWgLGvxDPxZ,6,support,False,negative
DWgLGvxDPxZ,7,support,True,positive
DWgLGvxDPxZ,8,support,False,positive
DWgLGvxDPxZ,9,support,False,positive
DWgLGvxDPxZ,10,support,False,negative
DWgLGvxDPxZ,11,support,False,positive
DWgLGvxDPxZ,12,support,False,positive
DWgLGvxDPxZ,13,support,True,negative
DWgLGvxDPxZ,14,support,True,negative
DUvBEwdiOJq,0,support,False,positive
DUvBEwdiOJq,1,support,True,positive
DUvBEwdiOJq,2,support,True,positive
DUvBEwdiOJq,3,support,False,positive
DUvBEwdiOJq,4,support,False,positive
DUvBEwdiOJq,5,support,False,positive
DWjZfpulh0r,0,support,True,positive
DWjZfpulh0r,1,support,False,positive
DWjZfpulh0r,2,support,False,positive
DWjZfpulh0r,3,support,False,positive
DWjZfpulh0r,4,support,False,positive
