Actor_Name;Website;Identified_Via;Source_Name;Search_String;Date_Identified;Eligibility_Status;Exclusion_Reason;Primary_Mandate_Category;Has_Instagram (Y/N);Notes
Namibian Environment and Wildlife Society (NEWS);http://www.namibwildlife.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Environmental Advocacy / Public Awareness;Y;Membership conservation society.
African Leadership Institute (AfLI);https://www.africanleadership.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Environmental Leadership / Governance;Possibly;Leadership + sustainability orientation.
Namibia Animal Rehabilitation Research and Education Centre (NARREC);Website requires verification;Directory;NCE;Member Organisations;23.02.26;Pending;—;Wildlife Rehabilitation / Education;Unknown;Verify conservation vs welfare orientation.
AfriCat Foundation;https://africat.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Carnivore Conservation;Y;Predator conservation & education.
Ocean Conservation Namibia;https://www.ocnamibia.org;Directory;NCE;Member Organisations;23.02.26;Pending;—;Marine Conservation / Plastic Pollution;Y;Marine wildlife + ocean plastics.
Namibia Scientific Society;https://www.namscience.com;Directory;NCE;Member Organisations;23.02.26;Pending;—;Science / Research Dissemination;Possibly;"Broader scientific mandate; assess conservation centrality."
A. Speiser Environmental Consultants CC;Website listed on NCE;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Consulting;Unknown;Likely consultancy, assess conservation mandate centrality
African Conservation Services CC;—;Directory;NCE;Full Members;23.02.26;Pending;—;Conservation Services;Unknown;Verify NGO vs consultancy
AfriCat Foundation;https://africat.org;Directory;NCE;Full Members;23.02.26;Pending;—;Carnivore Conservation;Y;Operational wildlife NGO
Ameib Scientific Station;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Biodiversity Research;Unknown;Research-focused
Anchor Environmental Consultants (Pty) Ltd;—;Directory;NCE;Full Members;23.02.26;Pending;Possibly consultancy only;Environmental Consulting;Unknown;Assess eligibility carefully
Ashby Associates cc;—;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Consulting;Unknown;Likely consultancy
Botanical Society of Namibia;https://botsoc.org.na;Directory;NCE;Full Members;23.02.26;Pending;—;Botany / Plant Conservation;Y;Civil society conservation org
Brown Hyena Research Project Trust Fund;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Species Research (Brown Hyena);Unknown;Likely conservation research
Bwabwata Living Museum;—;Directory;NCE;Full Members;23.02.26;Pending;—;Cultural & Environmental Education;Unknown;Assess conservation centrality
Canyon Nature Trust;—;Directory;NCE;Full Members;23.02.26;Pending;—;Habitat Conservation;Unknown;Verify scope
Cheetah Conservation Fund;https://cheetah.org;Directory;NCE;Full Members;23.02.26;Pending;—;Species Conservation;Y;Major conservation NGO
Conservancies Association of Namibia (CANAM);—;Directory;NCE;Full Members;23.02.26;Pending;—;Conservancy Support;Unknown;Umbrella-like function
Desert Lion Conservation Trust;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Species Conservation (Lion);Y;Field conservation
Development Workshop Namibia;—;Directory;NCE;Full Members;23.02.26;Pending;Possibly development focus;Development / Urban;Unknown;Verify conservation centrality
EAPAN;—;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Policy Network;Unknown;Likely advocacy
Earthlife Namibia;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Advocacy;Y;Public campaigning
Eco Awards Namibia;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Sustainable Tourism;Possibly;Certification body
Eco-Logic Environmental Management Consulting CC;—;Directory;NCE;Full Members;23.02.26;Pending;Possibly consultancy only;Environmental Consulting;Unknown;Assess
EduVentures Trust;https://eduventures.org.na;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Education;Y;Strong conservation education mandate
Elephant Human Relations Aid;https://ehra-namibia.org;Directory;NCE;Full Members;23.02.26;Pending;—;Human-Wildlife Conflict / Elephant Conservation;Y;Operational conservation NGO
Environmental Compliance Consulting;—;Directory;NCE;Full Members;23.02.26;Pending;Likely consultancy;Environmental Compliance;Unknown;Likely exclude if consultancy-only
EnviroScience;—;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Science;Unknown;Verify NGO vs private firm
Felines Communication and Conservation Consultants;—;Directory;NCE;Full Members;23.02.26;Pending;—;Carnivore Research / Communication;Unknown;Likely conservation-focused
Giraffe Conservation Foundation;https://giraffeconservation.org;Directory;NCE;Full Members;23.02.26;Pending;—;Species Conservation;Y;Operational NGO
Gobabeb Research and Training Centre;https://gobabeb.org;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Research / Training;Y;Research + outreach
Greenspace;—;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Planning;Unknown;Verify mandate
Integrated Rural Development and Nature Conservation;https://irdnc.org.na;Directory;NCE;Full Members;23.02.26;Pending;—;Community Conservation;Y;Major communal conservation NGO
JARO Consultancy;—;Directory;NCE;Full Members;23.02.26;Pending;Likely consultancy;Environmental Consulting;Unknown;Assess exclusion
Kunene Conservation;—;Directory;NCE;Full Members;23.02.26;Pending;—;Regional Conservation;Unknown;Field-based? verify
Kwando Carnivore Project;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Carnivore Conservation;Y;Field project
LM Environmental Consulting;—;Directory;NCE;Full Members;23.02.26;Pending;Likely consultancy;Environmental Consulting;Unknown;Assess
Museums Association of Namibia;—;Directory;NCE;Full Members;23.02.26;Pending;Possibly heritage focus;Museum / Heritage;Unknown;Assess conservation centrality
N/a’an ku sê Foundation;https://naankuse.com;Directory;NCE;Full Members;23.02.26;Pending;—;Wildlife Rescue / Conservation;Y;Strong digital presence
Namib Desert Environmental Education Trust;https://nadeet.org;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Education;Y;Conservation education NGO
Namibia Archaeological Trust;—;Directory;NCE;Full Members;23.02.26;Pending;Possibly heritage focus;Archaeology / Heritage;Unknown;Likely exclude if no biodiversity mandate
Namibia Biomass Industry Group;https://www.n-big.org;Directory;NCE;Full Members;23.02.26;Pending;—;Biomass / Renewable Resource Mgmt;Y;Sustainable resource focus
Namibia Bird Club;https://www.namibiabirdclub.org;Directory;NCE;Full Members;23.02.26;Pending;—;Ornithology / Citizen Science;Y;Strong conservation relevance
Namibia Nature Foundation;https://nnf.org.na;Directory;NCE;Full Members;23.02.26;Pending;—;Biodiversity Conservation;Y;Major NGO
Namibia Professional Hunting Association;—;Directory;NCE;Full Members;23.02.26;Pending;Mandate check needed;Sustainable Use / Hunting;Unknown;"Politically sensitive; assess mandate framing"
Namibia Scientific Society;https://www.namscience.com;Directory;NCE;Full Members;23.02.26;Pending;—;Science / Research Dissemination;Possibly;Broad science focus
Namibian Environment and Wildlife Society;http://namibwildlife.org;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Advocacy;Y;Public awareness NGO
Namibian Hydrogeological Association;—;Directory;NCE;Full Members;23.02.26;Pending;Possibly professional association;Water / Hydrogeology;Unknown;Assess
NamibRand Nature Reserve;https://www.namibrand.org;Directory;NCE;Full Members;23.02.26;Pending;—;Private Conservation Area;Y;"Private reserve; policy relevance high"
NUST Biodiversity Research Centre;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Academic Biodiversity Research;Unknown;University centre
Nyae Nyae Development Foundation of Namibia;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Community Development / Conservancy;Unknown;Strong CBNRM linkage
Ocean Conservation Namibia;https://ocnamibia.org;Directory;NCE;Full Members;23.02.26;Pending;—;Marine Conservation;Y;High digital activity
Omba Arts Trust;—;Directory;NCE;Full Members;23.02.26;Pending;Likely arts focus;Cultural / Development;Unknown;Likely exclude
Ongava Game Reserve;https://ongava.com;Directory;NCE;Full Members;23.02.26;Pending;—;Private Conservation Area;Y;Private reserve + research
Orange River-Karoo Conservation Area (ORKCA);—;Directory;NCE;Full Members;23.02.26;Pending;—;Landscape Conservation;Unknown;Regional conservation
Otjikoto Environmental and Education Trust;—;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Education;Unknown;Likely local NGO
Pangolin Conservation and Research Foundation;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Species Conservation (Pangolin);Y;Species NGO
Progress Namibia TAS cc;—;Directory;NCE;Full Members;23.02.26;Pending;Likely consultancy;Environmental Consulting;Unknown;Assess
ProNamib Nature Reserve;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Private Conservation Area;Unknown;Private reserve
RAISON;—;Directory;NCE;Full Members;23.02.26;Pending;—;Resource Management / Research;Unknown;Verify full name
Rare & Endangered Species Trust;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Species Conservation;Y;Operational NGO
Rooikat Trust;—;Directory;NCE;Full Members;23.02.26;Pending;—;Carnivore Conservation;Unknown;Likely small NGO
SAIEA (Southern African Institute for Environmental Assessment);https://saiea.com;Directory;NCE;Full Members;23.02.26;Pending;—;Environmental Assessment / Policy;Y;Regional body
Save the Rhino Trust Namibia;https://savetherhinotrustnamibia.org;Directory;NCE;Full Members;23.02.26;Pending;—;Species Conservation;Y;Major field NGO
Scientific Society Swakopmund;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Science / Research;Unknown;Assess conservation mandate
Seeis Conservancy;—;Directory;NCE;Full Members;23.02.26;Pending;—;Community Conservancy;Unknown;CBNRM structure
SLR Environmental Consulting;https://www.slrconsulting.com;Directory;NCE;Full Members;23.02.26;Pending;Likely consultancy;Environmental Consulting;Unknown;International consultancy
SunCycles Namibia;Website listed;Directory;NCE;Full Members;23.02.26;Pending;—;Renewable Energy / Sustainability;Y;Sustainability focus
Sustainable Solutions Trust;—;Directory;NCE;Full Members;23.02.26;Pending;—;Sustainability / Development;Unknown;Verify mandate
Tosco Trust;https://tosco.org;Directory;NCE;Full Members;23.02.26;Pending;—;Conservation Land Protection;Y;Habitat protection NGO
Twin Hills Trust;—;Directory;NCE;Full Members;23.02.26;Pending;—;Conservation Trust;Unknown;Verify
Venture Media;https://venture.com.na;Directory;NCE;Full Members;23.02.26;Pending;Likely media company;Media / Communication;Unknown;Likely exclude
Black-footed Cat Research Project Namibia;Website listed;Directory;NCE;Associate Members;23.02.26;Pending;—;Species Research;Y;Likely operational project
Desert Elephant Conservation (Laura Brown);Website listed;Directory;NCE;Associate Members;23.02.26;Pending;—;Elephant Conservation;Y;Research project
Leibniz Institute for Zoo and Wildlife Research;https://www.izw-berlin.de;Directory;NCE;Associate Members;23.02.26;Pending;Possibly international institute;Wildlife Research;Y;"Germany-based; assess Namibia mandate"
NARREC (Liz Komen);Website listed;Directory;NCE;Associate Members;23.02.26;Pending;—;Wildlife Rehabilitation;Y;Operational centre
Sea Search Research & Conservation – Namibian Dolphin Project;Website listed;Directory;NCE;Associate Members;23.02.26;Pending;—;Marine Mammal Research;Y;Active marine research NGO
Wild Bird Rescue;Website listed;Directory;NCE;Associate Members;23.02.26;Pending;—;Wildlife Rehabilitation;Y;Rescue NGO
Ministry of Environment, Forestry and Tourism;https://www.meft.gov.na;Snowball;IRDNC;Key Partners;23.02.26;Pending;Government body;Government / Environmental Governance;Y;Decide whether government actors are included in Phase 1
Ministry of Agriculture, Water and Land Reform;https://www.mawlr.gov.na;Snowball;IRDNC;Key Partners;23.02.26;Pending;Government body;Government / Land & Water;Unknown;Likely exclude unless public-facing conservation content
Ministry of Fisheries and Marine Resources;https://www.mfmr.gov.na;Snowball;IRDNC;Key Partners;23.02.26;Pending;Government body;Government / Marine Management;Unknown;Assess mandate inclusion
Namibia Environment and Wildlife Society (NEWS);http://namibwildlife.org;Snowball;IRDNC;NACSO Associate Members;23.02.26;Pending;—;Conservation Advocacy;Y;Already identified via NCE
Southern Kunene Regional Association (SKRA);—;Snowball;IRDNC;NACSO Associate Members;23.02.26;Pending;—;Regional Conservancy Association;Unknown;Regional CBNRM structure
World Wide Fund for Nature (WWF in Namibia);https://wwf.panda.org;Snowball;IRDNC;NACSO Associate Members;23.02.26;Pending;—;International Conservation NGO;Y;Important inclusion if Namibia office active
Kavango Regional Conservancy Association (KCCA);—;Snowball;IRDNC;NACSO Associate Members;23.02.26;Pending;—;Regional Conservancy Association;Unknown;Likely umbrella structure
Otjozondjupa Regional Conservancy Association (ORCA);—;Snowball;IRDNC;NACSO Associate Members;23.02.26;Pending;—;Regional Conservancy Association;Unknown;CBNRM actor
The B2Gold Rhino Gold Bar Fund of Namibia (RGBF);—;Snowball;IRDNC;Supporters;23.02.26;Pending;Corporate fund;Conservation Funding Mechanism;Unknown;Likely funding body
Laura Shapley;—;Snowball;IRDNC;Supporters;23.02.26;Likely Excluded;Individual;Individual;—;Exclude if only organisations allowed
NACSO Institutional Development Working Group (IDWG);—;Snowball;IRDNC;Supporters;23.02.26;Pending;Working group;Institutional Coordination;Unknown;Internal working group
Resilient Waters;—;Snowball;IRDNC;Supporters;23.02.26;Pending;Project network;Water / Climate Resilience;Unknown;Verify structure
NACSO Natural Resources Working Group (NRWG);—;Snowball;IRDNC;Supporters;23.02.26;Pending;Working group;Resource Governance;Unknown;NACSO substructure
